Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
76,The Last Flight of Noah's Ark,G,Adventure,1980,5.8,"June 25, 1980 ",1300,97,
77,Little Miss Marker,PG,Comedy,1980,6.3,"March 21, 1980 ",1400,103,
78,Willie & Phil,R,Comedy,1980,5.9,"August 15, 1980 ",415,115,
79,Babylon,R,Drama,1980,7.4,November 1980 ,1300,95,
80,Windwalker,PG,Adventure,1980,6.9,"November 18, 1983 ",1000,108,
81,Phobia,R,Drama,1980,4,"September 9, 1980 ",546,94,
82,Windows,R,Drama,1980,4.8,"January 18, 1980 ",643,96,
83,Loving Couples,PG,Comedy,1980,5.2,"October 24, 1980 ",351,97,
84,The King and the Mockingbird,Not Rated,Animation,1980,7.9,"March 19, 1980 ",4800,83,
85,"Oh, God! Book II",PG,Comedy,1980,5.2,"October 3, 1980 ",2100,94,
86,"Those Lips, Those Eyes",R,Comedy,1980,6.5,"August 15, 1980 ",269,105,
87,La Cage aux Folles II,R,Comedy,1980,5.8,"February 15, 1981 ",1900,102,
88,The Gong Show Movie,R,Comedy,1980,4.3,"May 23, 1980 ",740,89,
89,Gilda Live,R,Comedy,1980,6.8,"March 28, 1980 ",599,96,
90,Why Would I Lie?,PG,Comedy,1980,6.5,"August 8, 1980 ",211,105,
91,First Family,R,Comedy,1980,4.3,"December 25, 1980 ",593,97,
92,Mantis Fist Fighter,R,Action,1980,6.7,"July 9, 1982 ",230,89,
93,Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,"June 12, 1981 ",905000,115,
94,Body Heat,R,Crime,1981,7.4,"August 28, 1981 ",32000,113,
95,An American Werewolf in London,R,Comedy,1981,7.5,"August 21, 1981 ",97000,97,
96,Escape from New York,R,Action,1981,7.2,"July 10, 1981 ",131000,99,
97,The Evil Dead,NC-17,Horror,1981,7.5,"April 15, 1983 ",192000,85,
98,Porky's,R,Comedy,1981,6.2,"March 19, 1982 ",40000,94,
99,Blow Out,R,Crime,1981,7.4,"July 24, 1981 ",47000,108,
100,Clash of the Titans,PG,Action,1981,6.9,"June 12, 1981 ",42000,118,
101,Excalibur,R,Adventure,1981,7.4,"April 10, 1981 ",59000,140,
102,Mad Max 2,R,Action,1981,7.6,"May 21, 1982 ",170000,96,
103,Das Boot,R,Adventure,1981,8.3,"February 10, 1982 ",237000,149,
