Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
1993,A Rage in Harlem,R,Comedy,1991,5.9,"May 3, 1991 ",2000,115,
1994,Rhapsody in August,PG,Drama,1991,7.2,"December 20, 1991 ",6400,98,
1995,Kickboxer 2: the Road Back,R,Action,1991,4.5,"June 14, 1991 ",5400,90,
1996,V.I. Warshawski,R,Action,1991,5,"July 26, 1991 ",4800,89,
1997,The Super,R,Comedy,1991,5.6,"October 4, 1991 ",5400,95,
1998,Proof,R,Drama,1991,7.2,"March 20, 1992 ",6300,86,
1999,At Play in the Fields of the Lord,R,Drama,1991,6.8,"December 6, 1991 ",3100,189,
2000,True Colors,R,Drama,1991,6.3,"March 15, 1991 ",5000,111,
2001,Impromptu,PG-13,Biography,1991,6.9,May 1991 ,4800,107,
2002,A Kiss Before Dying,R,Crime,1991,5.7,"April 26, 1991 ",5100,94,
2003,Guilty by Suspicion,PG-13,Drama,1991,6.5,"March 15, 1991 ",8000,105,
2004,Scissors,R,Horror,1991,5.2,"March 22, 1991 ",2700,105,
2005,Where Angels Fear to Tread,PG,Drama,1991,6.4,"February 28, 1992 ",2100,116,
2006,Tous les matins du monde,Not Rated,Biography,1991,7.5,"December 18, 1991 ",6800,115,
2007,The Hitman,R,Action,1991,5.4,"October 25, 1991 ",3700,95,
2008,Bingo,PG,Adventure,1991,4.9,"August 9, 1991 ",2700,89,
2009,Queens Logic,R,Comedy,1991,5.9,"February 1, 1991 ",1500,100,
2010,Body Parts,R,Horror,1991,5.6,"August 2, 1991 ",4100,88,
2011,One Good Cop,R,Action,1991,5.9,"May 3, 1991 ",3900,114,
2012,Year of the Gun,R,Action,1991,5.6,"November 1, 1991 ",2500,111,
2013,Strictly Business,PG-13,Comedy,1991,5.5,"November 8, 1991 ",1900,83,
2014,The Efficiency Expert,PG,Comedy,1991,6.2,"November 6, 1992 ",1700,85,
2015,All I Want for Christmas,G,Comedy,1991,6,"November 8, 1991 ",4600,92,
2016,29th Street,R,Comedy,1991,7.3,"November 1, 1991 ",2700,101,
2017,Shout,PG-13,Drama,1991,5.3,"October 4, 1991 ",1800,89,
2018,Daughters of the Dust,TV-PG,Drama,1991,6.6,"December 27, 1991 ",2300,113,
2019,Once Around,R,Comedy,1991,6.5,"February 1, 1991 ",4100,115,
2020,Sólo con tu pareja,Not Rated,Comedy,1991,6.9,"December 25, 1992 ",3500,94,
2021,The Taking of Beverly Hills,R,Action,1991,5.1,"October 11, 1991 ",1100,96,
2022,Run,R,Action,1991,6.2,"February 1, 1991 ",2600,91,
2023,Paradise,PG-13,Drama,1991,6.7,"October 4, 1991 ",2700,111,
2024,Madame Bovary,PG-13,Drama,1991,6.6,"December 25, 1991 ",3600,143,
2025,Company Business,PG-13,Action,1991,5.6,"September 6, 1991 ",2600,98,
2026,Talent for the Game,PG,Drama,1991,6,"June 28, 1991 ",796,91,
2027,City of Hope,R,Crime,1991,7.3,"November 15, 1991 ",2300,129,
2028,Riff-Raff,R,Comedy,1991,7.1,"February 12, 1993 ",4300,95,
2029,The Object of Beauty,R,Comedy,1991,5.7,"April 12, 1991 ",2000,103,
2030,Liebestraum,R,Mystery,1991,5.9,November 1991 ,1500,112,
2031,Voyager,PG-13,Drama,1991,6.7,"January 31, 1992 ",3100,117,
2032,Closet Land,R,Drama,1991,7.1,"March 6, 1991 ",2700,89,
2033,Timebomb,R,Action,1991,5.4,"May 25, 1991 ",1600,96,
2034,Crooked Hearts,R,Drama,1991,6,"September 6, 1991 ",945,113,
2035,The Unborn,R,Drama,1991,4.6,"March 29, 1991 ",1100,83,
2036,Van Gogh,R,Biography,1991,7.2,"October 30, 1992 ",2800,158,
2037,Late for Dinner,PG,Drama,1991,6.4,"September 20, 1991 ",1700,99,
2038,Lovers: A True Story,R,Action,1991,7,"April 12, 1991 ",2800,103,
2039,Johnny Stecchino,R,Comedy,1991,7.2,"October 24, 1991 ",10000,102,
2040,Stepping Out,PG,Comedy,1991,6.4,"October 11, 1991 ",1100,106,
2041,The Inner Circle,PG-13,Biography,1991,7.1,"December 25, 1991 ",2000,137,
2042,"Mon père, ce héros.",G,Comedy,1991,6.1,"October 23, 1991 ",2600,105,
2043,Defenseless,R,Mystery,1991,5.6,"August 23, 1991 ",815,104,
2044,Reservoir Dogs,R,Crime,1992,8.3,"September 2, 1992 ",943000,99,
2045,Basic Instinct,R,Drama,1992,7,"March 20, 1992 ",186000,127,
2046,Candyman,R,Horror,1992,6.6,"October 16, 1992 ",74000,99,
2047,My Cousin Vinny,R,Comedy,1992,7.6,"March 13, 1992 ",112000,120,
2048,The Last of the Mohicans,R,Action,1992,7.7,"September 25, 1992 ",156000,112,
2049,Dracula,R,Horror,1992,7.4,"November 13, 1992 ",199000,128,
2050,Unforgiven,R,Drama,1992,8.2,"August 7, 1992 ",385000,130,
2051,A Few Good Men,R,Drama,1992,7.7,"December 11, 1992 ",242000,138,
2052,A League of Their Own,PG,Comedy,1992,7.3,"July 1, 1992 ",97000,128,
2053,The Bodyguard,R,Action,1992,6.3,"November 25, 1992 ",124000,129,
2054,Scent of a Woman,R,Drama,1992,8,"January 8, 1993 ",274000,156,
2055,Batman Returns,PG-13,Action,1992,7,"June 19, 1992 ",280000,126,
2056,The Mighty Ducks,PG,Comedy,1992,6.6,"October 2, 1992 ",62000,104,
2057,Aladdin,G,Animation,1992,8,"November 25, 1992 ",382000,90,
2058,Sister Act,PG,Comedy,1992,6.4,"May 29, 1992 ",91000,100,
2059,Alien 3,R,Action,1992,6.5,"May 22, 1992 ",284000,114,
2060,Death Becomes Her,PG-13,Comedy,1992,6.6,"July 31, 1992 ",108000,104,
2061,Far and Away,PG-13,Adventure,1992,6.6,"May 22, 1992 ",60000,140,
2062,The Crying Game,R,Crime,1992,7.3,"February 19, 1993 ",52000,112,
2063,Howards End,PG,Drama,1992,7.4,"February 26, 1993 ",30000,142,
2064,Under Siege,R,Action,1992,6.5,"October 9, 1992 ",80000,103,
2065,Deep Cover,R,Action,1992,6.9,"April 15, 1992 ",9500,107,
2066,Single White Female,R,Drama,1992,6.4,"August 14, 1992 ",34000,107,
2067,Cool World,PG-13,Animation,1992,4.9,"July 10, 1992 ",22000,102,
2068,Glengarry Glen Ross,R,Crime,1992,7.7,"October 2, 1992 ",98000,100,
2069,Wayne's World,PG-13,Comedy,1992,7,"February 14, 1992 ",148000,94,
2070,Army of Darkness,R,Comedy,1992,7.5,"February 19, 1993 ",166000,81,
2071,A River Runs Through It,PG,Drama,1992,7.2,"October 30, 1992 ",55000,123,
2072,Twin Peaks: Fire Walk with Me,R,Drama,1992,7.3,"August 28, 1992 ",89000,134,
2073,Of Mice and Men,PG-13,Drama,1992,7.5,"October 2, 1992 ",41000,115,
2074,Beethoven,PG,Comedy,1992,5.7,"April 3, 1992 ",68000,87,
2075,Universal Soldier,R,Action,1992,6,"July 10, 1992 ",85000,102,
2076,Buffy the Vampire Slayer,PG-13,Action,1992,5.7,"July 31, 1992 ",41000,86,
2077,Sleepwalkers,R,Fantasy,1992,5.3,"April 10, 1992 ",21000,91,
2078,Chaplin,PG-13,Biography,1992,7.5,"January 8, 1993 ",55000,143,
2079,The Lover,R,Biography,1992,6.9,"October 30, 1992 ",20000,115,
2080,Home Alone 2: Lost in New York,PG,Adventure,1992,6.8,"November 20, 1992 ",318000,120,
2081,The Hand That Rocks the Cradle,R,Drama,1992,6.6,"January 10, 1992 ",40000,110,
2082,Newsies,PG,Drama,1992,6.9,"April 10, 1992 ",19000,121,
2083,Malcolm X,PG-13,Biography,1992,7.7,"November 18, 1992 ",89000,202,
2084,Patriot Games,R,Action,1992,6.9,"June 5, 1992 ",106000,117,
2085,Dead Alive,R,Comedy,1992,7.5,"February 12, 1993 ",93000,104,
2086,Poison Ivy,R,Drama,1992,5.4,"May 8, 1992 ",18000,93,
2087,Sneakers,PG-13,Comedy,1992,7.1,"September 11, 1992 ",54000,126,
2088,The Lawnmower Man,R,Horror,1992,5.4,"March 6, 1992 ",34000,108,
2089,The Player,R,Comedy,1992,7.5,"May 8, 1992 ",56000,124,
2090,Encino Man,PG,Comedy,1992,5.8,"May 22, 1992 ",38000,88,
2091,White Men Can't Jump,R,Comedy,1992,6.8,"March 27, 1992 ",78000,115,
2092,Lethal Weapon 3,R,Action,1992,6.7,"May 15, 1992 ",160000,118,
2093,American Me,R,Biography,1992,7.2,"March 13, 1992 ",8600,125,
2094,El Mariachi,R,Action,1992,6.9,"February 26, 1993 ",64000,81,
2095,Bitter Moon,R,Drama,1992,7.2,"March 18, 1994 ",37000,139,
2096,Pet Sematary II,R,Fantasy,1992,4.9,"August 28, 1992 ",20000,100,
2097,Bad Lieutenant,NC-17,Crime,1992,7.1,"December 17, 1992 ",40000,96,
2098,Singles,PG-13,Comedy,1992,6.7,"September 18, 1992 ",28000,99,
2099,FernGully: The Last Rainforest,G,Animation,1992,6.5,"April 10, 1992 ",28000,76,
2100,HouseSitter,PG,Comedy,1992,6.1,"June 12, 1992 ",23000,102,
2101,School Ties,PG-13,Drama,1992,6.9,"September 18, 1992 ",23000,106,
2102,Hoffa,R,Biography,1992,6.6,"December 25, 1992 ",22000,140,
2103,Juice,R,Action,1992,7.1,"January 17, 1992 ",25000,95,
2104,Damage,R,Drama,1992,6.8,"January 22, 1993 ",17000,111,
2105,Forever Young,PG,Drama,1992,6.3,"December 16, 1992 ",45000,102,
2106,Man Bites Dog,NC-17,Comedy,1992,7.5,"January 15, 1993 ",37000,95,
2107,3 Ninjas,PG,Action,1992,5.3,"August 7, 1992 ",21000,84,
2108,Hellraiser III: Hell on Earth,R,Horror,1992,5.5,"September 11, 1992 ",28000,97,
2109,Body of Evidence,R,Drama,1992,4.5,"January 15, 1993 ",14000,99,
2110,"Honey, I Blew Up the Kid",PG,Adventure,1992,4.9,"July 17, 1992 ",42000,89,
2111,Captain Ron,PG-13,Adventure,1992,5.8,"September 18, 1992 ",21000,100,
2112,The Cutting Edge,PG,Comedy,1992,6.9,"March 27, 1992 ",19000,101,
2113,Passenger 57,R,Action,1992,5.9,"November 6, 1992 ",46000,84,
2114,"Jamón, Jamón",R,Comedy,1992,6.4,"February 4, 1994 ",13000,95,
2115,Children of the Corn II: the Final Sacrifice,R,Horror,1992,4.3,"January 29, 1993 ",7900,92,
2116,Ladybugs,PG-13,Comedy,1992,5.5,"March 27, 1992 ",9100,90,
2117,Radio Flyer,PG-13,Drama,1992,7,"February 21, 1992 ",13000,114,
2118,Strictly Ballroom,PG,Comedy,1992,7.2,"February 12, 1993 ",26000,94,
2119,Raising Cain,R,Crime,1992,6.1,"August 7, 1992 ",15000,92,
2120,Orlando,PG-13,Biography,1992,7.2,"June 9, 1993 ",15000,94,
2121,Gladiator,R,Action,1992,6.5,"March 6, 1992 ",8500,101,
2122,Split Second,R,Action,1992,6.2,"May 1, 1992 ",13000,90,
2123,Tom and Jerry: The Movie,G,Animation,1992,5.4,"July 30, 1993 ",10000,84,
2124,Toys,PG-13,Adventure,1992,5.1,"December 18, 1992 ",31000,118,
2125,Romper Stomper,R,Crime,1992,6.8,"November 12, 1992 ",38000,94,
2126,1492: Conquest of Paradise,PG-13,Adventure,1992,6.5,"October 9, 1992 ",29000,154,
2127,Pure Country,PG,Drama,1992,7,"October 23, 1992 ",4100,112,
2128,Boomerang,R,Comedy,1992,5.5,"July 1, 1992 ",27000,117,
2129,The Power of One,PG-13,Drama,1992,7.2,"March 27, 1992 ",9500,127,
2130,Dr. Giggles,R,Comedy,1992,5.2,"October 23, 1992 ",5900,95,
2131,Sidekicks,PG,Action,1992,5.1,"April 30, 1993 ",8000,101,
2132,Medicine Man,PG-13,Adventure,1992,6,"February 7, 1992 ",22000,106,
2133,Honeymoon in Vegas,PG-13,Comedy,1992,5.8,"August 28, 1992 ",17000,96,
2134,Thunderheart,R,Crime,1992,6.8,"April 3, 1992 ",15000,119,
2135,Stop! Or My Mom Will Shoot,PG-13,Action,1992,4.3,"February 21, 1992 ",39000,87,
2136,Innocent Blood,R,Action,1992,6.2,"September 25, 1992 ",9500,112,
2137,Unlawful Entry,R,Crime,1992,6.3,"June 26, 1992 ",15000,111,
2138,Lorenzo's Oil,PG-13,Biography,1992,7.3,"January 29, 1993 ",21000,129,
2139,Final Analysis,R,Drama,1992,5.9,"February 7, 1992 ",14000,124,
2140,One False Move,R,Crime,1992,7.1,"May 8, 1992 ",11000,105,
2141,Stay Tuned,PG,Adventure,1992,6.2,"August 14, 1992 ",11000,88,
2142,Consenting Adults,R,Crime,1992,5.7,"October 16, 1992 ",7000,99,
2143,Fortress,R,Action,1992,5.9,"September 3, 1993 ",28000,95,
2144,Once Upon a Crime...,PG,Comedy,1992,5.9,"March 6, 1992 ",4100,94,
2145,Mom and Dad Save the World,PG,Adventure,1992,5.4,"July 24, 1992 ",4400,88,
2146,Supercop,R,Action,1992,6.9,"July 4, 1992 ",20000,91,
2147,Jennifer 8,R,Crime,1992,6.3,"November 6, 1992 ",16000,124,
2148,Bébé's Kids,PG-13,Animation,1992,5.8,"July 31, 1992 ",4900,72,
2149,Memoirs of an Invisible Man,PG-13,Comedy,1992,6,"February 28, 1992 ",23000,99,
2150,Peter's Friends,R,Comedy,1992,7,"December 25, 1992 ",11000,101,
2151,Freejack,R,Action,1992,5.4,"January 17, 1992 ",15000,110,
2152,Como agua para chocolate,R,Drama,1992,7.1,"May 28, 1993 ",17000,105,
2153,Leap of Faith,PG-13,Comedy,1992,6.1,"December 18, 1992 ",13000,108,
2154,Noises Off...,PG-13,Comedy,1992,7.5,"March 20, 1992 ",11000,101,
2155,Class Act,PG-13,Comedy,1992,6.1,"June 5, 1992 ",7100,98,
2156,Diggstown,R,Drama,1992,7,"August 14, 1992 ",7000,98,
2157,Indochine,PG-13,Drama,1992,7.1,"December 23, 1992 ",9500,160,
2158,Nemesis,R,Action,1992,5.4,"December 26, 1992 ",5300,95,
2159,Kuffs,PG-13,Action,1992,5.9,"January 10, 1992 ",10000,102,
2160,Shining Through,R,Drama,1992,6.4,"January 31, 1992 ",9400,132,
2161,Mo' Money,R,Action,1992,5.5,"July 24, 1992 ",7200,89,
2162,Husbands and Wives,R,Comedy,1992,7.5,"September 18, 1992 ",28000,108,
2163,Trespass,R,Action,1992,6.3,"December 25, 1992 ",10000,101,
2164,Love Potion No. 9,PG-13,Comedy,1992,5.7,"November 13, 1992 ",13000,92,
2165,Rapid Fire,R,Action,1992,6.3,"August 21, 1992 ",8600,95,
2166,Wind,PG-13,Action,1992,6.4,"September 11, 1992 ",2600,126,
2167,Hero,PG-13,Comedy,1992,6.5,"October 2, 1992 ",22000,119,
2168,South Central,R,Crime,1992,6.8,"September 18, 1992 ",5400,98,
2169,The Muppet Christmas Carol,G,Comedy,1992,7.7,"December 11, 1992 ",51000,85,
2170,Un Coeur en Hiver,G,Drama,1992,7.6,"June 4, 1993 ",9300,105,
2171,Tokyo Decadence,NC-17,Drama,1992,6,"April 30, 1993 ",3000,112,
2172,Mr. Baseball,PG-13,Comedy,1992,6,"October 2, 1992 ",10000,108,
2173,Love Crimes,R,Romance,1992,4.2,"January 24, 1992 ",874,90,
2174,Naked Killer,R,Action,1992,6,"August 4, 1995 ",2200,89,
2175,CrissCross,R,Crime,1992,5.8,"May 8, 1992 ",1800,100,
2176,Waterland,R,Drama,1992,6.6,"October 30, 1992 ",2100,95,
2177,The Distinguished Gentleman,R,Comedy,1992,5.9,"December 4, 1992 ",15000,112,
2178,White Sands,R,Action,1992,6,"April 24, 1992 ",7300,101,
2179,Belle Epoque,R,Comedy,1992,7.1,"February 25, 1994 ",9700,109,
2180,Swoon,R,Crime,1992,6.7,"September 25, 1992 ",1600,93,
2181,Knight Moves,R,Crime,1992,6.1,"January 22, 1993 ",8100,116,
2182,Light Sleeper,R,Crime,1992,6.8,"March 13, 1992 ",6300,103,
2183,A Midnight Clear,R,Drama,1992,7.2,"April 24, 1992 ",8500,108,
2184,Bob Roberts,R,Comedy,1992,7,"September 4, 1992 ",13000,102,
2185,Sarafina!,PG-13,Drama,1992,6.3,"September 25, 1992 ",1900,117,
2186,For a Lost Soldier,Unrated,Drama,1992,7.5,"May 7, 1993 ",4300,92,
2187,In the Soup,R,Comedy,1992,7.1,"August 13, 1992 ",3400,93,
2188,A Stranger Among Us,PG-13,Crime,1992,5.6,"July 17, 1992 ",3600,110,
2189,Where the Day Takes You,R,Crime,1992,6.6,"September 11, 1992 ",3200,105,
2190,Passion Fish,R,Drama,1992,7.4,"December 11, 1992 ",5200,135,
2191,That Night,PG-13,Drama,1992,6.6,"August 6, 1993 ",2600,89,
2192,Gas Food Lodging,R,Drama,1992,6.6,"July 10, 1992 ",3700,101,
2193,American Heart,R,Crime,1992,6.7,"May 7, 1993 ",3200,113,
2194,The Babe,PG,Biography,1992,5.9,"April 17, 1992 ",9300,115,
2195,La sentinelle,G,Drama,1992,6.6,"October 16, 1998 ",745,139,
2196,Christopher Columbus: The Discovery,PG-13,Adventure,1992,4.5,"August 21, 1992 ",2800,120,
2197,Claire of the Moon,Unrated,Drama,1992,5.1,"October 21, 1993 ",950,107,
2198,Prelude to a Kiss,PG-13,Comedy,1992,5.6,"July 10, 1992 ",7700,105,
2199,The Best Intentions,Not Rated,Biography,1992,7.8,"July 10, 1992 ",3000,182,
2200,The Public Eye,R,Crime,1992,6.5,"October 16, 1992 ",3500,99,
2201,Article 99,R,Comedy,1992,6.1,"March 13, 1992 ",3100,100,
2202,The Mambo Kings,R,Drama,1992,6.4,"February 28, 1992 ",5200,104,
2203,Into the West,PG,Adventure,1992,7,"September 17, 1993 ",2800,97,
2204,The Playboys,PG-13,Drama,1992,6.3,"April 22, 1992 ",1100,117,
2205,City of Joy,PG-13,Drama,1992,6.5,"April 17, 1992 ",4900,132,
2206,Straight Talk,PG,Comedy,1992,5.8,"April 3, 1992 ",3500,91,
2207,Qing shao nian nuo zha,Not Rated,Crime,1992,7.6,"August 4, 1994 ",4000,106,
2208,Love Field,PG-13,Drama,1992,6.6,"February 12, 1993 ",3800,105,
2209,Mr. Saturday Night,R,Comedy,1992,5.9,"September 25, 1992 ",4500,119,
2210,Twin Dragons,PG-13,Action,1992,6.5,"April 9, 1999 ",11000,104,
2211,Aces: Iron Eagle III,R,Action,1992,3.7,"June 12, 1992 ",2700,98,
2212,The Living End,Unrated,Comedy,1992,6.5,"August 21, 1992 ",2900,81,
2213,Simple Men,R,Crime,1992,7.2,"November 6, 1992 ",4100,105,
2214,Guncrazy,R,Crime,1992,5.5,"September 9, 1993 ",2200,97,
2215,Folks!,PG-13,Comedy,1992,5.7,"May 1, 1992 ",2500,107,
2216,Léolo,Not Rated,Comedy,1992,7.5,"April 2, 1993 ",6700,107,
2217,Night and the City,R,Comedy,1992,5.8,"October 23, 1992 ",4600,105,
2218,Whispers in the Dark,R,Drama,1992,5.6,"August 7, 1992 ",2000,103,
2219,Zebrahead,R,Drama,1992,6.3,"October 23, 1992 ",1200,100,
2220,Hyenas,Not Rated,Comedy,1992,7.4,"April 26, 2019 ",1000,110,
2221,A Tale of Winter,Not Rated,Drama,1992,7.3,"January 29, 1992 ",4400,114,
2222,Man Trouble,PG-13,Comedy,1992,4.7,"July 17, 1992 ",3000,100,
2223,Laws of Gravity,R,Crime,1992,6.8,"August 20, 1993 ",950,100,
2224,Brain Donors,PG,Comedy,1992,7.1,"April 17, 1992 ",4100,80,
2225,Out on a Limb,PG,Comedy,1992,5.3,"September 4, 1992 ",1600,93,
2226,Tetsuo II: Body Hammer,R,Action,1992,6.4,"August 15, 1997 ",4200,83,
2227,Traces of Red,R,Crime,1992,5.2,"November 11, 1992 ",1500,105,
2228,Storyville,R,Drama,1992,5.8,"September 30, 1992 ",1100,113,
2229,Rescue Me,PG-13,Action,1992,5.2,"December 3, 1993 ",683,99,
2230,Map of the Human Heart,R,Adventure,1992,7.1,"May 14, 1993 ",3100,109,
2231,Ruby Cairo,PG-13,Mystery,1992,5,"October 29, 1993 ",2100,90,
2232,The Waterdance,R,Drama,1992,6.8,"May 13, 1992 ",2600,106,
2233,Year of the Comet,PG-13,Action,1992,5.8,"April 24, 1992 ",1500,91,
2234,This Is My Life,PG-13,Drama,1992,6.1,"February 21, 1992 ",1100,105,
2235,Mistress,R,Comedy,1992,5.4,"July 24, 1992 ",2100,110,
2236,Passed Away,PG-13,Comedy,1992,5.8,"April 24, 1992 ",1200,96,
2237,Blame It on the Bellboy,PG-13,Comedy,1992,5.5,"March 6, 1992 ",2500,78,
2238,Leaving Normal,R,Comedy,1992,6.6,"April 29, 1992 ",1300,110,
2239,House of Angels,R,Comedy,1992,6.4,"August 6, 1993 ",4500,127,
2240,The Long Day Closes,PG,Biography,1992,7.4,"May 28, 1993 ",3000,85,
2241,Once Upon a Time in China III,R,Action,1992,6.8,"February 11, 1993 ",6600,109,
2242,Shadow of the Wolf,PG-13,Adventure,1992,5.7,"March 5, 1993 ",876,112,
2243,The Gun in Betty Lou's Handbag,PG-13,Comedy,1992,5.1,"August 21, 1992 ",1600,89,
2244,Tombstone,R,Action,1993,7.8,"December 25, 1993 ",132000,130,
2245,The Sandlot,PG,Comedy,1993,7.8,"April 7, 1993 ",82000,101,
2246,Jurassic Park,PG-13,Action,1993,8.1,"June 11, 1993 ",894000,127,
2247,Dazed and Confused,R,Comedy,1993,7.6,"September 24, 1993 ",171000,102,
2248,Schindler's List,R,Biography,1993,8.9,"February 4, 1994 ",1200000,195,
2249,True Romance,R,Crime,1993,7.9,"September 10, 1993 ",212000,119,
2250,Naked,Not Rated,Comedy,1993,7.8,"February 4, 1994 ",36000,132,
2251,Robin Hood: Men in Tights,PG-13,Adventure,1993,6.7,"July 28, 1993 ",119000,104,
2252,A Bronx Tale,R,Crime,1993,7.8,"October 1, 1993 ",132000,121,
2253,What's Eating Gilbert Grape,PG-13,Drama,1993,7.7,"March 4, 1994 ",221000,118,
2254,Hocus Pocus,PG,Comedy,1993,6.9,"July 16, 1993 ",106000,96,
2255,Carlito's Way,R,Crime,1993,7.9,"November 12, 1993 ",206000,144,
2256,Mrs. Doubtfire,PG-13,Comedy,1993,7,"November 24, 1993 ",252000,125,
2257,The Fugitive,PG-13,Action,1993,7.8,"August 6, 1993 ",275000,130,
2258,Demolition Man,R,Action,1993,6.7,"October 8, 1993 ",163000,115,
2259,Dennis the Menace,PG,Comedy,1993,5.6,"June 25, 1993 ",58000,94,
2260,Falling Down,R,Action,1993,7.6,"February 26, 1993 ",177000,113,
2261,The Pelican Brief,PG-13,Crime,1993,6.6,"December 17, 1993 ",81000,141,
2262,The Firm,R,Drama,1993,6.8,"June 30, 1993 ",124000,154,
2263,Last Action Hero,PG-13,Action,1993,6.4,"June 18, 1993 ",141000,130,
2264,Sister Act 2: Back in the Habit,PG,Comedy,1993,5.6,"December 10, 1993 ",50000,107,
2265,Groundhog Day,PG,Comedy,1993,8,"February 12, 1993 ",589000,101,
2266,Philadelphia,PG-13,Drama,1993,7.7,"January 14, 1994 ",229000,125,
2267,Super Mario Bros.,PG,Adventure,1993,4.1,"May 28, 1993 ",50000,104,
2268,Sleepless in Seattle,PG,Comedy,1993,6.8,"June 25, 1993 ",165000,105,
2269,Cliffhanger,R,Action,1993,6.4,"May 28, 1993 ",122000,113,
2270,The Piano,R,Drama,1993,7.6,"February 11, 1994 ",81000,121,
2271,The Nightmare Before Christmas,PG,Animation,1993,8,"October 29, 1993 ",306000,76,
2272,Rookie of the Year,PG,Comedy,1993,6.1,"July 7, 1993 ",26000,103,
2273,"Blood In, Blood Out",R,Crime,1993,8,"April 30, 1993 ",29000,180,
2274,In the Name of the Father,R,Biography,1993,8.1,"February 25, 1994 ",163000,133,
2275,Alive,R,Biography,1993,7.1,"January 15, 1993 ",53000,120,
2276,Addams Family Values,PG-13,Comedy,1993,6.8,"November 19, 1993 ",84000,94,
2277,Indecent Proposal,R,Drama,1993,6,"April 7, 1993 ",66000,117,
2278,In the Line of Fire,R,Action,1993,7.2,"July 9, 1993 ",96000,128,
2279,The Age of Innocence,PG,Drama,1993,7.2,"October 1, 1993 ",56000,139,
2280,Menace II Society,R,Crime,1993,7.5,"May 26, 1993 ",54000,97,
2281,Gettysburg,PG,Drama,1993,7.6,"October 8, 1993 ",27000,271,
2282,The Three Musketeers,PG,Action,1993,6.4,"November 12, 1993 ",52000,105,
2283,Homeward Bound: The Incredible Journey,G,Adventure,1993,6.9,"February 12, 1993 ",43000,84,
2284,The Secret Garden,G,Drama,1993,7.3,"August 13, 1993 ",38000,101,
2285,Free Willy,PG,Adventure,1993,6,"July 16, 1993 ",71000,112,
2286,RoboCop 3,PG-13,Action,1993,4.1,"November 5, 1993 ",47000,104,
2287,The Remains of the Day,PG,Drama,1993,7.8,"November 19, 1993 ",69000,134,
2288,Hard Target,R,Action,1993,6.2,"August 20, 1993 ",46000,97,
2289,Fire in the Sky,PG-13,Biography,1993,6.5,"March 12, 1993 ",23000,109,
2290,Cool Runnings,PG,Adventure,1993,7,"October 1, 1993 ",96000,98,
2291,Dave,PG-13,Comedy,1993,6.8,"May 7, 1993 ",50000,110,
2292,Kalifornia,R,Crime,1993,6.7,"September 3, 1993 ",52000,117,
2293,Benny & Joon,PG,Comedy,1993,7.2,"April 16, 1993 ",56000,98,
2294,Sliver,R,Drama,1993,5,"May 21, 1993 ",30000,107,
2295,Rudy,PG,Biography,1993,7.5,"October 22, 1993 ",59000,114,
2296,Coneheads,PG,Comedy,1993,5.3,"July 23, 1993 ",52000,88,
2297,So I Married an Axe Murderer,PG-13,Comedy,1993,6.5,"July 30, 1993 ",36000,93,
2298,Hot Shots! Part Deux,PG-13,Action,1993,6.6,"May 21, 1993 ",86000,86,
2299,Much Ado About Nothing,PG-13,Comedy,1993,7.3,"July 2, 1993 ",46000,111,
2300,The Crush,R,Drama,1993,5.8,"April 2, 1993 ",17000,89,
2301,Loaded Weapon 1,PG-13,Action,1993,6.2,"February 5, 1993 ",45000,84,
2302,This Boy's Life,R,Biography,1993,7.3,"April 23, 1993 ",49000,115,
2303,Three Colors: Blue,R,Drama,1993,7.9,"September 8, 1993 ",93000,94,
2304,Grumpy Old Men,PG-13,Comedy,1993,7,"December 25, 1993 ",45000,103,
2305,A Perfect World,PG-13,Crime,1993,7.5,"November 24, 1993 ",76000,138,
2306,Leprechaun,R,Comedy,1993,4.8,"January 8, 1993 ",25000,92,
2307,Malice,R,Crime,1993,6.4,"October 1, 1993 ",24000,107,
2308,What's Love Got to Do with It,R,Biography,1993,7.3,"June 25, 1993 ",18000,118,
2309,Short Cuts,R,Comedy,1993,7.7,"October 1, 1993 ",43000,188,
2310,Son in Law,PG-13,Comedy,1993,5.8,"July 2, 1993 ",18000,95,
2311,Striking Distance,R,Action,1993,5.9,"September 17, 1993 ",41000,102,
2312,Return of the Living Dead III,G,Horror,1993,5.9,"February 25, 1994 ",14000,97,
2313,Searching for Bobby Fischer,PG,Biography,1993,7.4,"August 11, 1993 ",37000,109,
2314,Jason Goes to Hell: the Final Friday,G,Fantasy,1993,4.2,"August 13, 1993 ",29000,87,
2315,Matinee,PG,Comedy,1993,6.9,"January 29, 1993 ",10000,99,
2316,The Good Son,R,Drama,1993,6.4,"September 24, 1993 ",37000,87,
2317,The Beverly Hillbillies,PG,Comedy,1993,5,"October 15, 1993 ",18000,92,
2318,Beethoven's 2nd,PG,Comedy,1993,4.9,"December 17, 1993 ",26000,89,
2319,Killing Zoe,R,Crime,1993,6.5,September 1994 ,20000,96,
2320,Cronos,R,Fantasy,1993,6.7,May 1994 ,28000,94,
2321,Geronimo: An American Legend,PG-13,Drama,1993,6.5,"December 10, 1993 ",9900,115,
2322,Wayne's World 2,PG-13,Comedy,1993,6.2,"December 10, 1993 ",79000,95,
2323,Point of No Return,R,Action,1993,6.1,"March 19, 1993 ",26000,109,
