Id,Director,writer,actor,crew
1942,Jackie Chan,Jackie Chan,Jackie Chan,108
1943,William Dear,Fred Dekker,Richard Grieco,111
1944,Terry Hughes,Ezra Litwak,Demi Moore,117
1945,Joel Schumacher,Marti Leimbach,Julia Roberts,86
1946,Nancy Savoca,Bob Comfort,River Phoenix,119
1947,Ken Russell,David Hines,Theresa Russell,39
1948,Peter Chelsom,Peter Chelsom,Ned Beatty,68
1949,Norman Jewison,Jerry Sterner,Danny DeVito,128
1950,Tom Mankiewicz,Lawrence J. Cohen,John Candy,58
1951,John Duigan,John Duigan,Noah Taylor,50
1952,Stuart Gordon,Edgar Allan Poe,Lance Henriksen,61
1953,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,103
1954,Jodie Foster,Scott Frank,Jodie Foster,65
1955,Woody Allen,Woody Allen,Woody Allen,90
1956,Bobcat Goldthwait,Bobcat Goldthwait,Bobcat Goldthwait,93
1957,Bruce Beresford,Brian Moore,Lothaire Bluteau,64
1958,Robert Benton,E.L. Doctorow,Dustin Hoffman,28
1959,Lars von Trier,Lars von Trier,Barbara Sukowa,86
1960,Randa Haines,Ed Rosenbaum,William Hurt,115
1961,Steven Soderbergh,Lem Dobbs,Jeremy Irons,44
1962,Tom DiCillo,Tom DiCillo,Brad Pitt,62
1963,Jonathan Wacks,Parker Bennett,Ethan Hawke,52
1964,John R. Cherry III,John R. Cherry III,Jim Varney,72
1965,Robert Townsend,Robert Townsend,Robert Townsend,95
1966,Mira Nair,Sooni Taraporevala,Denzel Washington,57
1967,Jerry Rees,Neil Simon,Kim Basinger,62
1968,Ken Kwapis,Brian Hohlfeld,Kevin Bacon,43
1969,Todd Haynes,Jean Genet,Edith Meeks,67
1970,David S. Ward,Emlyn Williams,John Goodman,20
1971,Mike Newell,Elizabeth von Arnim,Alfred Molina,74
1972,Gabriele Salvatores,Enzo Monteleone,Diego Abatantuono,108
1973,George Jackson,Reginald Hudlin,Christopher Reid,118
1974,Damian Harris,Mary Agnes Donoghue,Goldie Hawn,117
