Id,Director,writer,actor,crew
1,Stanley Kubrick,Stephen King,Jack Nicholson,134
2,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,119
3,Irvin Kershner,Leigh Brackett,Mark Hamill,80
4,Jim Abrahams,Jim Abrahams,Robert Hays,17
5,Harold Ramis,Brian Doyle-Murray,Chevy Chase,117
6,Sean S. Cunningham,Victor Miller,Betsy Palmer,20
7,John Landis,Dan Aykroyd,John Belushi,129
8,Martin Scorsese,Jake LaMotta,Robert De Niro,59
9,Richard Lester,Jerry Siegel,Gene Hackman,121
10,Walter Hill,Bill Bryden,David Carradine,139
11,Buddy Van Horn,Stanford Sherman,Clint Eastwood,93
12,Jamie Uys,Jamie Uys,N!xau,134
13,Robert Altman,Jules Feiffer,Robin Williams,42
14,Robert Redford,Judith Guest,Donald Sutherland,115
15,Brian De Palma,Brian De Palma,Michael Caine,29
16,Jeannot Szwarc,Richard Matheson,Christopher Reeve,47
17,Alan Parker,Christopher Gore,Eddie Barth,143
18,Colin Higgins,Patricia Resnick,Jane Fonda,136
19,John Carpenter,John Carpenter,Adrienne Barbeau,67
20,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,39
21,William Friedkin,William Friedkin,Al Pacino,79
22,Michael Cimino,Michael Cimino,Kris Kristofferson,137
23,Don Taylor,Thomas Hunter,Kirk Douglas,142
24,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,26
25,James Bridges,Aaron Latham,John Travolta,127
26,Ken Russell,Paddy Chayefsky,William Hurt,120
27,Ron Maxwell,Kimi Peck,Tatum O'Neal,15
28,Jerry Jameson,Adam Kennedy,Jason Robards,41
29,Stuart Rosenberg,W.D. Richter,Robert Redford,126
30,Paul Schrader,Paul Schrader,Richard Gere,68
31,Tony Bill,Alan Ormsby,Chris Makepeace,108
32,Paul Lynch,William Gray,Leslie Nielsen,47
33,Hal Needham,Hal Needham,Burt Reynolds,32
34,Lamont Johnson,David Eyre,Scott Glenn,49
35,Jay Sandrich,Neil Simon,Goldie Hawn,126
36,Howard Zieff,Nancy Meyers,Goldie Hawn,70
37,Floyd Mutrux,Floyd Mutrux,Tony Danza,15
38,Kevin Connor,Robert Jaffe,Rory Calhoun,108
39,Richard Fleischer,Samson Raphaelson,Laurence Olivier,44
40,Michael Apted,Thomas Rickman,Sissy Spacek,62
41,John Hough,Brian Clemens,Bette Davis,40
42,Bruce Beresford,Jonathan Hardy,Edward Woodward,48
43,Richard Rush,Lawrence B. Marcus,Peter O'Toole,23
44,Art Linson,Hunter S. Thompson,Peter Boyle,115
45,Mike Newell,Allan Scott,Charlton Heston,75
46,Tommy Chong,Tommy Chong,Cheech Marin,69
47,Michael Ritchie,Peter Benchley,Michael Caine,146
48,Ulli Lommel,Ulli Lommel,Suzanna Love,33
49,Clive Donner,Mel Brooks,Don Adams,106
50,Moustapha Akkad,David Butler,Anthony Quinn,19
51,Woody Allen,Woody Allen,Woody Allen,110
52,Jonathan Demme,Bo Goldman,Paul Le Mat,38
53,Nancy Walker,Bronte Woodard,Ray Simpson,58
54,Clint Eastwood,Dennis Hackin,Clint Eastwood,31
55,Federico Fellini,Federico Fellini,Marcello Mastroianni,131
56,Lang Elliott,Tim Conway,Tim Conway,18
57,James Goldstone,Gordon Thomas,Paul Newman,117
58,Joe Camp,Rod Browning,Chevy Chase,103
59,Eric Karson,Leigh Chapman,Chuck Norris,147
60,James L. Conway,Ken Pettus,Darren McGavin,62
61,Vincent McEveety,Don Tait,Charles Martin Smith,141
62,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,62
63,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,101
64,Jerry Schatzberg,Gösta Stevens,Willie Nelson,30
65,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,31
66,Anne Bancroft,Anne Bancroft,Dom DeLuise,132
67,Vladimir Menshov,Valentin Chernykh,Vera Alentova,69
68,Piers Haggard,Rudy Dochtermann,Peter Sellers,26
69,Bill Persky,Cyra McFadden,Martin Mull,121
70,Martin Davidson,AJ Carothers,John Ritter,109
71,Gary Weis,Guy Thomas,Dudley Moore,97
72,Bill Melendez,Charles M. Schulz,Scott Beach,55
73,Marty Feldman,Marty Feldman,Marty Feldman,43
74,Alan Rudolph,Big Boy Medlin,Meat Loaf,24
75,Sidney Lumet,Jay Presson Allen,Ali MacGraw,96
76,Charles Jarrott,Ernest K. Gann,Elliott Gould,104
77,Walter Bernstein,Damon Runyon,Walter Matthau,99
78,Paul Mazursky,Jean Gruault,Michael Ontkean,45
79,Franco Rosso,Franco Rosso,David N. Haynes,92
80,Kieth Merrill,Ray Goldrup,Trevor Howard,19
81,John Huston,Gary Sherman,Paul Michael Glaser,41
82,Gordon Willis,Barry Siegel,Talia Shire,137
83,Jack Smight,Martin Donovan,Shirley MacLaine,41
84,Paul Grimault,Hans Christian Andersen,Jean Martin,64
85,Gilbert Cates,Josh Greenfeld,George Burns,100
86,Michael Pressman,David Shaber,Frank Langella,52
87,Édouard Molinaro,Jean Poiret,Michel Serrault,147
88,Chuck Barris,Chuck Barris,Chuck Barris,21
89,Mike Nichols,Anne Beatts,Gilda Radner,135
90,Larry Peerce,Hollis Hodges,Treat Williams,100
91,Buck Henry,Buck Henry,Bob Newhart,64
92,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,44
93,Steven Spielberg,Lawrence Kasdan,Harrison Ford,116
94,Lawrence Kasdan,Lawrence Kasdan,William Hurt,57
95,John Landis,John Landis,David Naughton,45
96,John Carpenter,John Carpenter,Kurt Russell,57
97,Sam Raimi,Sam Raimi,Bruce Campbell,64
98,Bob Clark,Bob Clark,Dan Monahan,48
99,Brian De Palma,Brian De Palma,John Travolta,109
100,Desmond Davis,Beverley Cross,Laurence Olivier,81
101,John Boorman,Thomas Malory,Nigel Terry,129
102,George Miller,Terry Hayes,Mel Gibson,99
103,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,147
104,Ivan Reitman,Len Blum,Bill Murray,97
105,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,68
106,Hal Needham,Brock Yates,Burt Reynolds,31
107,Michael Mann,Frank Hohimer,James Caan,125
108,Franco Zeffirelli,Scott Spencer,Brooke Shields,57
109,Terry Gilliam,Michael Palin,Sean Connery,123
110,Alan Alda,Alan Alda,Alan Alda,73
111,Steve Miner,Ron Kurz,Betsy Palmer,88
112,David Cronenberg,David Cronenberg,Jennifer O'Neill,58
113,John Glen,Richard Maibaum,Roger Moore,130
114,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,132
115,Harold Becker,Darryl Ponicsan,George C. Scott,146
116,Warren Beatty,Warren Beatty,Warren Beatty,87
117,Mark Rydell,Ernest Thompson,Katharine Hepburn,71
118,Directors,Daniel P. Mannix,Mickey Rooney,141
119,Hugh Hudson,Colin Welland,Ben Cross,139
120,Sydney Pollack,Kurt Luedtke,Paul Newman,68
121,John Derek,Tom Rowe,Bo Derek,87
122,John Huston,Yabo Yablonsky,Michael Caine,120
123,Steve Gordon,Steve Gordon,Dudley Moore,70
124,Louis Malle,Wallace Shawn,Andre Gregory,46
125,Carl Gottlieb,Rudy De Luca,Ringo Starr,71
126,Gary Sherman,Jeff Millar,James Farentino,140
127,Mel Brooks,Mel Brooks,Mel Brooks,95
128,Joe Dante,Gary Brandner,Dee Wallace,121
129,Matthew Robbins,Hal Barwood,Peter MacNicol,71
130,Ivan Passer,Newton Thornburg,Jeff Bridges,15
131,Jean-Jacques Annaud,Gérard Brach,Everett McGill,78
132,Graham Baker,David Seltzer,Sam Neill,81
133,Frank Perry,Christina Crawford,Faye Dunaway,60
134,Alan Myerson,Dan Greenburg,Sylvia Kristel,51
135,Bob Rafelson,David Mamet,Jack Nicholson,98
136,Milos Forman,E.L. Doctorow,James Cagney,133
137,Wes Craven,Glenn M. Benest,Maren Jensen,45
138,Peter Yates,Steve Tesich,William Hurt,126
139,Peter Weir,David Williamson,Mel Gibson,121
140,Peter Hyams,Peter Hyams,Sean Connery,48
141,Walter Hill,Michael Kane,Keith Carradine,33
142,Blake Edwards,Blake Edwards,Julie Andrews,15
143,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,24
144,John Irvin,Peter Straub,Craig Wasson,146
145,George Mihalka,Stephen A. Miller,Paul Kelman,139
146,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,29
147,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,32
148,Karel Reisz,John Fowles,Meryl Streep,114
149,Jim Henson,Tom Patchett,Jim Henson,36
150,Ulu Grosbard,John Gregory Dunne,Robert De Niro,135
151,Michael Crichton,Michael Crichton,Albert Finney,81
152,Bruce Malmuth,David Shaber,Sylvester Stallone,61
153,Tommy Chong,Tommy Chong,Cheech Marin,142
154,Burt Reynolds,William Diehl,Burt Reynolds,52
155,John G. Avildsen,Thomas Berger,John Belushi,125
156,Bruce Beresford,Margaret Kelly,Nell Schofield,42
157,Richard Marquand,Ken Follett,Donald Sutherland,118
158,Michael Wadleigh,Whitley Strieber,Albert Finney,98
159,Mickey Rose,Mickey Rose,Kristen Riter,118
160,Sidney Lumet,Jay Presson Allen,Treat Williams,139
161,Oliver Stone,Marc Brandel,Michael Caine,19
162,Michael Apted,Lawrence Kasdan,John Belushi,81
163,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,49
164,Piers Haggard,Alan Scholefield,Klaus Kinski,149
165,Daniel Petrie,Heywood Gould,Paul Newman,31
166,Ken Wiederhorn,Ron Kurz,Lauren Tewes,138
167,Peter Medak,Hal Dresner,George Hamilton,51
168,Steve Rash,Fred Bauer,Chevy Chase,42
169,Michael Schultz,Stanley Shapiro,George Segal,148
170,Joel Schumacher,Richard Matheson,Lily Tomlin,83
171,Ron Maxwell,Bob Bonney,Kristy McNichol,105
172,James Ivory,Jean Rhys,Isabelle Adjani,39
173,Herb Freed,Anne Marisse,Christopher George,61
174,Ken Shapiro,Ken Shapiro,Chevy Chase,118
175,Herbert Ross,Dennis Potter,Steve Martin,103
176,Ralph Bakshi,Ronni Kern,Mews Small,15
177,William A. Fraker,Ivan Goff,Klinton Spilsbury,54
178,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,23
179,Ken Hughes,Ruth Avergon,Leonard Mann,32
180,Steve Carver,James Bruner,Chuck Norris,128
181,Luis Valdez,Luis Valdez,Daniel Valdez,63
182,George Cukor,Gerald Ayres,Jacqueline Bisset,65
183,Billy Wilder,Francis Veber,Jack Lemmon,92
184,Oz Scott,Lonne Elder III,Richard Pryor,45
185,Albert Brooks,Albert Brooks,Albert Brooks,105
186,Allan Arkush,John Hill,Andy Kaufman,82
187,Martin Ritt,Gary DeVore,Sally Field,45
188,Gus Trikonis,Barry Schneider,Robert Hays,74
189,Jack Fisk,William D. Wittliff,Sissy Spacek,107
190,John Badham,Brian Clark,Richard Dreyfuss,90
191,Terence Young,Robin Moore,Laurence Olivier,150
192,Jean-Claude Tramont,W.D. Richter,Gene Hackman,60
193,Roger Spottiswoode,J.D. Reed,Robert Duvall,78
194,Alan J. Pakula,Howard Kohn,Jane Fonda,44
195,Glenn Jordan,Neil Simon,Marsha Mason,54
196,John Schlesinger,Edward Clinton,David Rasche,36
197,David Steinberg,Charlie Peters,Burt Reynolds,147
198,Noel Nosseck,David Barry,Harry Hamlin,69
199,Byron Quisenberry,Byron Quisenberry,Pepper Martin,102
200,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,33
201,Charles Jarrott,Robert Littell,John Savage,132
202,E.W. Swackhamer,Barry Rosen,Leif Garrett,141
203,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,127
204,Jacques Rivette,Bulle Ogier,Bulle Ogier,109
205,Allan King,Olive Frederickson,Ellen Burstyn,113
206,Amy Heckerling,Cameron Crowe,Sean Penn,42
207,Ridley Scott,Hampton Fancher,Harrison Ford,76
208,John Carpenter,Bill Lancaster,Kurt Russell,62
209,John Milius,Robert E. Howard,Arnold Schwarzenegger,66
210,Steven Spielberg,Melissa Mathison,Henry Thomas,114
211,Ted Kotcheff,David Morrell,Sylvester Stallone,47
212,Taylor Hackford,Douglas Day Stewart,Richard Gere,129
213,Patricia Birch,Ken Finkleman,Michelle Pfeiffer,118
214,John Huston,Carol Sobieski,Aileen Quinn,55
215,Tobe Hooper,Steven Spielberg,JoBeth Williams,136
216,Walter Hill,Roger Spottiswoode,Nick Nolte,33
217,Nicholas Meyer,Gene Roddenberry,William Shatner,48
218,Stuart Gillard,Stuart Gillard,Willie Aames,137
219,Boaz Davidson,Boaz Davidson,Lawrence Monoson,140
220,Alan J. Pakula,William Styron,Meryl Streep,61
221,Richard Attenborough,John Briley,Ben Kingsley,87
222,Sydney Pollack,Don McGuire,Dustin Hoffman,87
223,Steven Lisberger,Steven Lisberger,Jeff Bridges,15
224,Don Bluth,Robert C. O'Brien,Elizabeth Hartman,33
225,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,143
226,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,144
227,Don Coscarelli,Don Coscarelli,Marc Singer,51
228,George A. Romero,Stephen King,Hal Holbrook,56
229,George Miller,A.B. 'Banjo' Paterson,Kirk Douglas,117
230,Alan Parker,Roger Waters,Bob Geldof,113
231,Paul Schrader,DeWitt Bodeen,Nastassja Kinski,114
232,Ingmar Bergman,Ingmar Bergman,Bertil Guve,76
233,Steve Miner,Martin Kitrosser,Dana Kimmell,65
234,Clint Eastwood,Alex Lasker,Clint Eastwood,98
235,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,85
236,Jim Henson,David Odell,Jim Henson,61
237,Sidney Lumet,Barry Reed,Paul Newman,32
238,Juan Piquer Simón,Dick Randall,Christopher George,89
239,Robert J. Rosenthal,Bruce Rubin,Scott Baio,88
240,Daniel Petrie,Mike Marvin,Kenny Rogers,30
241,George Roy Hill,John Irving,Robin Williams,133
242,Barry Levinson,Barry Levinson,Steve Guttenberg,39
243,Colin Higgins,Larry L. King,Burt Reynolds,126
244,Peter Weir,David Williamson,Mel Gibson,130
245,Ron Howard,Lowell Ganz,Henry Winkler,53
246,Randal Kleiser,Randal Kleiser,Peter Gallagher,104
247,Blake Edwards,Blake Edwards,Julie Andrews,125
248,Jules Bass,Peter S. Beagle,Jeff Bridges,26
249,Sidney J. Furie,Frank De Felitta,Barbara Hershey,61
250,Ken Finkleman,Ken Finkleman,Robert Hays,53
251,Richard Donner,Francis Veber,Richard Pryor,30
252,Mark Rosman,Mark Rosman,Kate McNeil,22
253,Guy Hamilton,Anthony Shaffer,Peter Ustinov,48
254,Albert Pyun,Tom Karnowski,Lee Horsley,118
255,Michael Winner,David Engelbach,Charles Bronson,87
256,Michael Miller,Joseph Fraley,Chuck Norris,84
257,Hal Needham,Bob Kachler,Barry Bostwick,40
258,Robert Towne,Robert Towne,Mariel Hemingway,106
259,Carl Reiner,Carl Reiner,Steve Martin,111
260,Damiano Damiani,Tommy Lee Wallace,James Olson,105
261,Costa-Gavras,Costa-Gavras,Jack Lemmon,43
262,Graeme Clifford,Eric Bergren,Jessica Lange,138
263,David Schmoeller,David Schmoeller,Morgan Fairchild,91
264,David S. Ward,John Steinbeck,Nick Nolte,75
265,Sidney Lumet,Ira Levin,Michael Caine,35
266,Tim Hunter,S.E. Hinton,Matt Dillon,62
267,Tom Kennedy,Jason Williams,Ben Murphy,87
268,Richard T. Heffron,Mickey Spillane,Armand Assante,21
269,Paul Mazursky,Paul Mazursky,John Cassavetes,119
270,Garry Marshall,Michael Elias,Michael McKean,22
271,Richard Benjamin,Norman Steinberg,Peter O'Toole,117
272,Robert Benton,Robert Benton,Roy Scheider,105
273,Charles Band,Alan J. Adler,Robert Glaudini,72
274,Arthur Hiller,Barry Sandler,Michael Ontkean,130
275,Clint Eastwood,Clancy Carlile,Clint Eastwood,45
276,Philippe Mora,Tom Holland,Ronny Cox,75
277,Robert Altman,Ed Graczyk,Cher,34
278,Ian Sharp,George Markstein,Lewis Collins,81
279,Blake Edwards,Blake Edwards,Peter Sellers,117
280,Roger Christian,Thomas Baum,Kathryn Harrold,107
281,Tony Richardson,Deric Washburn,Jack Nicholson,102
282,Robert Mulligan,Bruno Barreto,Sally Field,28
283,Woody Allen,Woody Allen,Woody Allen,118
284,Gary Sherman,Sandy Howard,Season Hubley,50
285,Norman Jewison,Valerie Curtin,Burt Reynolds,74
286,Alan Parker,Bo Goldman,Albert Finney,26
287,Hal Ashby,Al Schwartz,Jon Voight,80
288,Fred Schepisi,William D. Wittliff,Willie Nelson,61
289,Jean-Claude Lord,Brian Taggert,Michael Ironside,146
290,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,115
291,Michael Miller,John Hughes,Gerrit Graham,38
292,Sidney Poitier,Henry Rosenbaum,Gene Wilder,137
293,Arthur Hiller,Israel Horovitz,Al Pacino,81
294,Ted Kotcheff,Scott Spencer,Michael O'Keefe,79
295,John Frankenheimer,Richard Maxwell,Scott Glenn,30
296,James Glickenhaus,James Glickenhaus,Ken Wahl,25
297,Richard Brooks,Charles McCarry,Sean Connery,97
298,Tony Bill,Fred Mustard Stewart,Dudley Moore,104
299,Wim Wenders,Robert Kramer,Allen Garfield,48
300,Jerry Belson,Monica Mcgowan Johnson,Mark Blankfield,117
301,James Fargo,Franklin Thompson,Chuck Norris,114
302,Richard Loncraine,Michael Palin,Michael Palin,113
303,Caleb Deschanel,David Wagoner,Raul Julia,56
304,Delbert Mann,John McGreevey,John Hurt,81
305,Alan Rudolph,Judd Klinger,Robert Urich,48
306,Thomas K. Avildsen,Cheech Marin,Toni Attell,43
307,James Beshears,Maurice Peterson,Joan Collins,38
308,Don Siegel,Frank D. Gilroy,Bette Midler,119
309,Daniel Vigne,Jean-Claude Carrière,Gérard Depardieu,45
310,Elliott Hong,David Randolph,Johnny Yune,58
311,Michael Pressman,Robert Boris,Richard Pryor,89
312,Wim Wenders,Joe Gores,Frederic Forrest,122
313,Fred Zinnemann,Michael Austin,Sean Connery,144
314,Jamaa Fanaka,Jamaa Fanaka,Leon Isaac Kennedy,45
315,Eric Till,Stuart Gillard,Marc Singer,140
316,James Burrows,Francis Veber,Ryan O'Neal,97
317,Joe Layton,Paul Mooney,Richard Pryor,63
318,Directors,John W. Dunn,Mel Blanc,118
319,Frank Perry,Jack-Alain Léger,Christopher Reeve,87
320,Franklin J. Schaffner,Anne Piper,Luciano Pavarotti,37
321,Herbert Ross,Neil Simon,Walter Matthau,44
322,Franco Zeffirelli,Francesco Maria Piave,Teresa Stratas,66
323,Lewis Teague,Thomas Hedley Jr.,Tom Skerritt,121
324,Wolf Gremm,Robert Katz,Rainer Werner Fassbinder,131
325,Fumihiko Takayama,Yoshimitsu Banno,Aileen Quinn,34
326,Robert Taylor,Joseph Barbera,Lorne Greene,61
327,Larry Peerce,Anne Gerard,Amy Madigan,94
328,John Wintergate,John Wintergate,John Wintergate,120
329,Peter Duffell,June Roberts,Elizabeth Edmonds,121
330,Peter Markle,Peter Markle,Bill Schoppert,81
331,Paul Cox,Paul Cox,Wendy Hughes,148
332,Brian De Palma,Oliver Stone,Al Pacino,110
333,Francis Ford Coppola,Kathleen Rowell,C. Thomas Howell,17
334,Richard Marquand,Lawrence Kasdan,Mark Hamill,120
335,Paul Brickman,Paul Brickman,Tom Cruise,142
336,Harold Ramis,John Hughes,Chevy Chase,60
337,John Landis,Timothy Harris,Eddie Murphy,139
338,Richard Lester,Jerry Siegel,Christopher Reeve,86
339,Lawrence Kasdan,Lawrence Kasdan,Tom Berenger,79
340,Sylvester Stallone,Nik Cohn,John Travolta,94
341,Joe Alves,Peter Benchley,Dennis Quaid,98
342,John Carpenter,Stephen King,Keith Gordon,90
343,Robert Hiltzik,Robert Hiltzik,Felissa Rose,129
344,Adrian Lyne,Thomas Hedley Jr.,Jennifer Beals,73
345,John Badham,Lawrence Lasker,Matthew Broderick,55
346,Philip Kaufman,Philip Kaufman,Sam Shepard,98
347,Peter Yates,Stanford Sherman,Ken Marshall,52
348,Sean S. Cunningham,David Smilow,David Knell,114
349,David Cronenberg,Jeffrey Boam,Christopher Walken,100
350,John Glen,George MacDonald Fraser,Roger Moore,21
351,Noel Black,Dan Greenburg,Phoebe Cates,95
352,Martha Coolidge,Andrew Lane,Nicolas Cage,148
353,Francis Ford Coppola,S.E. Hinton,Matt Dillon,115
354,David Cronenberg,David Cronenberg,James Woods,135
355,James L. Brooks,Larry McMurtry,Shirley MacLaine,15
356,Directors,John Landis,Dan Aykroyd,77
357,Irvin Kershner,Kevin McClory,Sean Connery,116
358,Bob Clark,Jean Shepherd,Peter Billingsley,118
359,Lewis Teague,Stephen King,Dee Wallace,27
360,Clint Eastwood,Harry Julian Fink,Clint Eastwood,22
361,Tony Scott,James Costigan,Catherine Deneuve,31
362,Stan Dragoti,John Hughes,Michael Keaton,128
363,John Badham,Dan O'Bannon,Roy Scheider,73
364,Jim McBride,François Truffaut,Richard Gere,87
365,Richard Franklin,Tom Holland,Anthony Perkins,19
366,Bill Forsyth,Bill Forsyth,Burt Lancaster,51
367,Rick Rosenthal,Richard Di Lello,Sean Penn,139
368,Mike Nichols,Nora Ephron,Meryl Streep,25
369,Michael Chapman,Michael Kane,Tom Cruise,50
370,Michael Mann,F. Paul Wilson,Scott Glenn,92
371,George Bowers,Joe Roberts,Matt Lattanzi,150
372,Barbra Streisand,Jack Rosenthal,Barbra Streisand,79
373,Ralph Bakshi,Ralph Bakshi,Randy Norton,37
374,Martin Davidson,Martin Davidson,Tom Berenger,114
375,Mel Damski,Graham Chapman,Graham Chapman,120
376,Terry Jones,Graham Chapman,John Cleese,110
377,Andrei Tarkovsky,Andrei Tarkovsky,Oleg Yankovskiy,110
378,Peter Markle,Mike Marvin,David Naughton,148
379,Dick Lowry,Stuart Birnbaum,Jackie Gleason,58
380,James Sbardellati,Howard R. Cohen,Rick Hill,87
381,Bob Clark,Roger Swaybill,Dan Monahan,134
382,Jack Clayton,Ray Bradbury,Jason Robards,35
383,Bruce Beresford,Horton Foote,Robert Duvall,107
384,Bob Fosse,Teresa Carpenter,Mariel Hemingway,33
385,Michael Apted,Martin Cruz Smith,William Hurt,145
386,Steve Carver,B.J. Nelson,Chuck Norris,91
387,James Signorelli,Rodney Dangerfield,Rodney Dangerfield,80
388,Nagisa Ôshima,Lourens van der Post,David Bowie,82
389,Curtis Hanson,Bill Norton,Tom Cruise,73
390,Rafal Zielinski,Linda Shayne,Peter Keleghan,63
391,Douglas Trumbull,Bruce Joel Rubin,Christopher Walken,94
392,Carl Reiner,George Gipe,Steve Martin,41
393,Robert Vincent O'Neil,Robert Vincent O'Neil,Cliff Gorman,31
394,J. Lee Thompson,William Roberts,Charles Bronson,78
395,Ted Kotcheff,Joe Gayton,Gene Hackman,135
396,Michael Pressman,Bruce Jay Friedman,Dan Aykroyd,80
397,Howard Avedis,Howard Avedis,Mary Beth McDonough,36
398,Hal Needham,William Neely,Burt Reynolds,58
399,Andrew V. McLaglen,Menahem Golan,Brooke Shields,87
400,John Herzfeld,John Herzfeld,John Travolta,26
401,Paul Nicholas,Aaron Butler,Linda Blair,105
402,Lamont Johnson,Stewart Harding,Peter Strauss,116
403,Brian G. Hutton,Jon Cleary,Tom Selleck,106
404,Carroll Ballard,Farley Mowat,Charles Martin Smith,132
405,Wilford Leach,W.S. Gilbert,Kevin Kline,80
406,Clive Smith,Patrick Loubert,Don Francks,60
407,Luigi Cozzi,Luigi Cozzi,Lou Ferrigno,58
408,Lewis Gilbert,Willy Russell,Michael Caine,103
409,John G. Avildsen,Joan Tewkesbury,Christopher Atkins,70
410,Roger Spottiswoode,Ron Shelton,Nick Nolte,144
411,Richard Fleischer,David Ambrose,Tony Roberts,42
412,Lynne Littman,Carol Amen,Jane Alexander,130
413,Sam Peckinpah,Robert Ludlum,Rutger Hauer,112
414,Sam Firstenberg,James R. Silke,Shô Kosugi,135
415,Woody Allen,Woody Allen,Woody Allen,59
416,Robert Mandel,Alice Hoffman,Kathleen Quinlan,147
417,Enzo G. Castellari,Tito Carpi,Mark Gregory,121
418,Alan Johnson,Thomas Meehan,Mel Brooks,109
419,Nicolas Roeg,Marshall Houts,Gene Hackman,126
420,Michael Winner,Leslie Arliss,Faye Dunaway,100
421,Tommy Chong,Tommy Chong,Cheech Marin,31
422,Antonio Margheriti,Juan Zanotto,Reb Brown,106
423,George P. Cosmatos,Chauncey G. Parker III,Peter Weller,103
424,Blake Edwards,Blake Edwards,David Niven,73
425,Joel Schumacher,Topper Carew,Max Gail,41
426,John Mackenzie,Graham Greene,Michael Caine,57
427,Michael Ritchie,Michael Leeson,Walter Matthau,120
428,Peter Sasdy,Harold Robbins,Pia Zadora,87
429,Peter Hyams,Roderick Taylor,Michael Douglas,149
430,Peter Yates,Ronald Harwood,Albert Finney,140
431,Franc Roddam,Pat Conroy,David Keith,78
432,Martin Ritt,Marjorie Kinnan Rawlings,Mary Steenburgen,23
433,Blake Edwards,Blake Edwards,Burt Reynolds,130
434,Joseph Sargent,Christopher Crowe,Cristina Raines,46
435,William Friedkin,Paul Brickman,Chevy Chase,93
436,Jeff Kanew,James McLendon,Kirk Douglas,141
437,Herbert Ross,Neil Simon,Jason Robards,40
438,Jeremy Kagan,David S. Ward,Jackie Gleason,100
439,John Sayles,Amy Robinson,Rosanna Arquette,134
440,James Ivory,Ruth Prawer Jhabvala,Julie Christie,135
441,David Steinberg,Dana Olsen,John Candy,26
442,Sidney Lumet,E.L. Doctorow,Timothy Hutton,98
443,Jonathan Kaplan,Ken Friedman,Bonnie Bedelia,88
444,Amy Holden Jones,Amy Holden Jones,Jamie Lee Curtis,82
445,Allan Arkush,Danny Opatoshu,Malcolm McDowell,115
446,Ferdinand Fairfax,Lloyd Phillips,Tommy Lee Jones,30
447,Michael Laughlin,Bill Condon,Paul Le Mat,76
448,Robert Dalva,Walter Farley,Kelly Reno,59
449,Charles Band,Alan J. Adler,Jeffrey Byron,132
450,William Olsen,William Olsen,Martin Yost,138
451,John Sayles,John Sayles,Linda Griffiths,70
452,Bryan Forbes,Gwen Davis,David Niven,96
453,Marshall Brickman,Marshall Brickman,Dudley Moore,150
454,Donald Shebib,Henry Bean,Robby Benson,89
455,James Toback,James Toback,Nastassja Kinski,80
456,Michael Tuchner,Jeffrey Price,Margot Kidder,32
457,Cirio H. Santiago,Howard R. Cohen,Steve Sandor,99
458,Bruce Malmuth,Stanford Sherman,Steve Guttenberg,61
459,Robert Lieberman,David Seltzer,Jon Voight,37
460,Arthur Hiller,Bernard Slade,Dudley Moore,41
461,Lawrence David Foldes,Russell W. Colgin,Ernest Borgnine,90
462,Dick Richards,Erich Segal,Martin Sheen,108
463,Costa-Gavras,Franco Solinas,Jill Clayburgh,44
464,Terry Bedford,Trevor Preston,Peter Coyote,59
465,Roland Klick,Karen Jaehne-Lathan,Dennis Hopper,23
466,Richard Pryor,Paul Mooney,Richard Pryor,33
467,Paul Aaron,Ken Barnett,Wings Hauser,146
468,Charles Burnett,Charles Burnett,Everett Silas,133
469,Richard Michaels,Kevin Sellers,Harry Hamlin,103
470,David Nelson,Ernest Tidyman,Jan-Michael Vincent,137
471,Paul Lynch,Herbert Kastle,Richard Beymer,72
472,Mark Pirro,Mark Pirro,Mark Pirro,124
473,David Drury,Ray Connolly,James Aubrey,62
474,Frank Zuniga,Donald G. Payne,Steve Railsback,128
475,Tom Logan,Tom Logan,,130
476,James Cameron,James Cameron,Arnold Schwarzenegger,105
477,David Lynch,Frank Herbert,Kyle MacLachlan,110
478,Ivan Reitman,Dan Aykroyd,Bill Murray,90
479,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,80
480,Sergio Leone,Harry Grey,Robert De Niro,98
481,Hugh Wilson,Neal Israel,Steve Guttenberg,102
482,Steven Spielberg,Willard Huyck,Harrison Ford,17
