Id,budget,gross,,
1322,17500000,25024919,,
1323,10500000,14114488,,
1324,3000000,808114,,
1325,19000000,25537221,,
1326,,13133,,
1327,7500000,2983784,,
1328,20000000,11798302,,
1329,6500000,14545844,,
1330,22000000,17550399,,
1331,,159969,,
1332,15000000,21630088,,
1333,7000000,19595031,,
1334,,6264058,,
1335,,20324096,,
1336,,40150487,,
1337,7000000,5344577,,
1338,,18875011,,
1339,,,,
1340,12000000,15855828,,
1341,3000000,7282851,,
1342,23000000,19652638,,
1343,7000000,20256975,,
1344,25000000,16118077,,
1345,15000000,29300090,,
1346,8000000,161004,,
1347,4700000,1705139,,
1348,22000000,61149479,,
1349,16000000,32155047,,
1350,19000000,25816139,,
1351,3700000,1145404,,
1352,,540000,,
1353,,15122324,,
1354,,17514553,,
1355,6000000,960040,,
1356,,401421,,
1357,4500000,3813293,,
1358,5000000,3588626,,
1359,4000000,3468572,,
1360,,8253123,,
1361,,31753898,,
1362,22000000,13825794,,
1363,,2567099,,
1364,,13664060,,
1365,14000000,6640346,,
1366,,3966256,,
1367,,12277096,,
1368,1000000,,,
1369,9000000,2181286,,
1370,,7467504,,
1371,,2080758,,
1372,,11536599,,
1373,15000000,21042667,,
1374,,13687027,,
1375,,10815378,,
1376,,717376,,
1377,,1192322,,
1378,15000000,1733070,,
1379,,3331297,,
1380,,4870903,,
1381,18000000,1883811,,
1382,,,,
1383,,12706478,,
1384,,6193901,,
1385,16000000,4192440,,
1386,,424773,,
1387,,940173,,
1388,3000000,187349,,
1389,,6337299,,
1390,210000,,,
1391,,7721852,,
1392,7000000,5979011,,
1393,,14681192,,
1394,,3074681,,
1395,12000000,3965604,,
1396,,2319801,,
1397,19000000,11005304,,
1398,,8539181,,
1399,4000000,9797098,,
1400,10000000,1562749,,
1401,,241278,,
1402,16000000,4594452,,
1403,3000000,1984315,,
1404,6000000,40397,,
1405,4000000,1791328,,
1406,,,,
1407,18000000,9129999,,
1408,,188964,,
1409,,8674093,,
1410,4000000,16262415,,
1411,,3527886,,
1412,,2432536,,
1413,,6436211,,
1414,6000000,10068039,,
1415,,2955917,,
1416,,1451857,,
1417,22000000,12638294,,
1418,13000000,5509417,,
1419,,303624,,
1420,,344375,,
1421,,10497324,,
1422,,,,
1423,6000000,1869148,,
1424,6000000,657446,,
1425,,1223326,,
1426,,1560700,,
1427,,9974446,,
1428,,,,
1429,,1348771,,
1430,,747013,,
1431,8000000,1893139,,
1432,,5301200,,
1433,13000000,259019,,
1434,5000000,429028,,
1435,,771745,,
1436,6000000,28202109,,
1437,,3838793,,
1438,20000000,11444204,,
1439,,,,
1440,12000000,7242035,,
1441,3000000,343786,,
1442,4000000,1267578,,
1443,14000000,4764606,,
1444,48000000,474171806,,
1445,17000000,30050028,,
1446,35000000,411508343,,
1447,10000000,40508994,,
1448,,84431625,,
1449,16400000,235860116,,
1450,40000000,211343479,,
1451,70000000,90000098,,
1452,40000000,332500002,,
1453,6500000,37295445,,
1454,18000000,222724172,,
1455,13000000,71079915,,
1456,,30218387,,
1457,,38956288,,
1458,1200000,24741667,,
1459,16000000,93232006,,
1460,11000000,49797148,,
1461,15000000,96759512,,
1462,11500000,57470138,,
1463,15000000,79258538,,
1464,37000000,215394738,,
1465,55000000,63408614,,
1466,14000000,161001698,,
1467,18000000,26979166,,
1468,20000000,126297830,,
1469,28000000,227853986,,
1470,27000000,73594646,,
1471,18000000,49101993,,
1472,,21515196,,
1473,32000000,156167015,,
1474,,6056912,,
1475,30000000,60864870,,
1476,24000000,22099847,,
1477,,7724701,,
1478,7000000,9094451,,
1479,18000000,46908987,,
1480,22500000,18671317,,
1481,18000000,10647219,,
1482,,14743391,,
1483,26000000,160188546,,
1484,,11060485,,
1485,,793775,,
1486,6000000,14278900,,
1487,5000000,6157157,,
1488,7500000,296999813,,
1489,27800000,52210049,,
1490,,4088140,,
1491,13800000,27100027,,
1492,500000,10166459,,
1493,31000000,74134790,,
1494,25000000,15704614,,
1495,5000000,1700000,,
1496,10400000,7825009,,
1497,1500000,14697005,,
1498,30000000,134212055,,
1499,18000000,8508843,,
1500,7500000,145793296,,
1501,2500000,4729352,,
1502,6000000,22168359,,
1503,,5552441,,
1504,5000000,11642254,,
1505,8000000,8143225,,
1506,19000000,110879513,,
1507,9000000,19674852,,
1508,17000000,78247647,,
1509,10000000,31906454,,
1510,9000000,10161099,,
1511,,12065892,,
1512,5000000,14343976,,
1513,,27843,,
1514,33000000,1132112,,
1515,7000000,8800000,,
1516,13000000,18428904,,
1517,5000000,16554699,,
1518,12000000,15942628,,
1519,,38903179,,
1520,,15351421,,
1521,2800000,1544973,,
1522,22000000,19131246,,
1523,11987578,444055,,
1524,10000000,2777280,,
1525,8000000,39450960,,
1526,5000000,1919653,,
1527,,1932642,,
1528,19000000,18254702,,
1529,,20047604,,
1530,18000000,4973285,,
1531,,3960327,,
1532,4000000,283694,,
1533,,6291444,,
1534,,5777099,,
1535,16000000,16278590,,
1536,15000000,28890240,,
1537,,1730005,,
1538,35000000,1368000,,
1539,5000000,3416846,,
1540,,13741060,,
1541,15000000,10763469,,
1542,13000000,22026369,,
1543,10000000,2692037,,
1544,4000000,192816,,
1545,,4611062,,
1546,20000000,10555348,,
1547,20000000,7237794,,
1548,,10982364,,
1549,,4557214,,
1550,30000000,3563162,,
1551,12000000,11567217,,
1552,,18699037,,
1553,,882290,,
1554,19000000,12143484,,
1555,15000000,40586886,,
1556,10000000,1272977,,
1557,8000000,16093651,,
1558,,12195695,,
1559,2500000,,,
1560,,259486,,
1561,1500000,1519796,,
1562,,536508,,
1563,5000000,117463,,
1564,3000000,870532,,
1565,,2049769,,
1566,19000000,27503037,,
1567,18000000,3077361,,
1568,,418053,,
1569,,4347648,,
1570,,294266,,
1571,3000000,4609953,,
1572,,3299382,,
1573,8000000,1097333,,
1574,,9114702,,
1575,9000000,3766879,,
1576,,3953745,,
1577,,169203,,
1578,,408839,,
1579,75000,,,
1580,,8742750,,
1581,3000000,1738897,,
1582,,510712,,
1583,2300000,792966,,
1584,14500000,8125592,,
1585,,6263883,,
1586,8500000,11604598,,
1587,,,,
1588,16000000,9015164,,
1589,11500000,2260616,,
1590,,938562,,
1591,,4299023,,
1592,,1852655,,
1593,,201468,,
1594,,1089000,,
1595,,1247946,,
1596,,1601612,,
1597,,2043889,,
1598,3000000,76325,,
1599,,7723506,,
1600,,463972,,
1601,5000000,,,
1602,,,,
1603,,2156471,,
1604,,858591,,
1605,20000000,2420917,,
1606,,4795009,,
1607,,,,
1608,14000000,5932613,,
1609,18000000,3531971,,
1610,,2023282,,
1611,9500000,7754571,,
1612,,902152,,
1613,17000000,3560932,,
1614,,3690328,,
1615,,,,
1616,16000000,67878,,
1617,10000000,1642239,,
1618,,,,
1619,34000000,3574256,,
1620,4000000,6985999,,
1621,5000000,8153677,,
1622,,1417030,,
1623,,18587135,,
1624,,1776440,,
1625,,960385,,
1626,10000000,3169719,,
1627,,1869417,,
1628,4000000,43671,,
1629,,363561,,
1630,,,,
1631,,4348025,,
1632,,,,
1633,,129778,,
1634,,337812,,
1635,,1316495,,
1636,,,,
1637,,574080,,
1638,,1354268,,
1639,,5368865,,
1640,,216373,,
1641,9000000,3473905,,
1642,6000000,1877618,,
1643,,862551,,
1644,25000000,46963277,,
1645,54000000,136861392,,
1646,65000000,261317921,,
1647,14000000,463406268,,
1648,18000000,476684675,,
1649,22000000,505703557,,
1650,22000000,424208848,,
1651,11000000,16667084,,
1652,70000000,240031274,,
1653,20000000,61276872,,
1654,15000000,201957688,,
1655,47000000,15691192,,
1656,13500000,201965915,,
1657,20000000,86024005,,
1658,30000000,200512643,,
1659,47000000,162738726,,
1660,31000000,52096475,,
1661,,4960385,,
1662,9500000,14561425,,
1663,35000000,57120318,,
1664,25000000,45681173,,
1665,,10360553,,
1666,25000000,26118851,,
1667,40000000,245077583,,
1668,14000000,48878502,,
1669,13000000,1293976,,
1670,11000000,8266343,,
1671,22000000,221303188,,
1672,22000000,53208180,,
1673,60000000,157920733,,
1674,5300000,2554476,,
1675,50000000,41482207,,
1676,42000000,119946358,,
1677,20000000,44143410,,
1678,14000000,5080409,,
1679,22000000,15645616,,
1680,,13985225,,
1681,,5017971,,
1682,20000000,35419397,,
1683,13000000,35763605,,
1684,25000000,39404261,,
1685,23000,1228108,,
1686,26000000,61489265,,
1687,,3106052,,
1688,,39024251,,
1689,20000000,21413105,,
1690,11000000,8862354,,
1691,19000000,10005969,,
1692,6000000,24271196,,
1693,15000000,27734391,,
1694,,71609321,,
1695,10000000,72270891,,
1696,,13446769,,
1697,,23591472,,
1698,30000000,27931461,,
1699,2500000,26385627,,
1700,38000000,153518974,,
1701,4200000,5835247,,
1702,18000000,44926706,,
1703,22000000,39071603,,
1704,,23472449,,
1705,10000000,47410827,,
1706,,11541758,,
1707,,20710451,,
1708,36000000,17373527,,
1709,,16247964,,
1710,2000000,5765562,,
1711,,15445131,,
1712,2500000,205068,,
1713,18000000,1911542,,
1714,20000000,138697012,,
1715,23000000,27441977,,
1716,20000000,21413502,,
1717,12000000,57968936,,
1718,350000,1242995,,
1719,12000000,2970161,,
1720,35000000,33461269,,
1721,,16186793,,
1722,5200000,2459895,,
1723,4000000,16853487,,
1724,,17487531,,
1725,,,,
1726,15000000,15260154,,
1727,1500000,5728953,,
1728,20000000,15379253,,
1729,12000000,21460601,,
1730,,8217997,,
1731,,2060847,,
1732,20000000,25069101,,
1733,10500000,11582891,,
1734,25000000,2075084,,
1735,7000000,4348368,,
1736,,1244381,,
1737,10000000,16153593,,
1738,,3989297,,
1739,7000000,12626043,,
1740,,47789074,,
1741,,739104,,
1742,3500000,16324573,,
1743,10000000,21633874,,
1744,12500000,29888235,,
1745,230000,2960492,,
1746,,5575738,,
1747,,5822041,,
1748,25000000,6939946,,
1749,19000000,1372350,,
1750,,1554742,,
1751,40000000,9645440,,
1752,,18115724,,
1753,21800000,22997992,,
1754,,1516414,,
1755,,20305841,,
1756,24000000,2319124,,
1757,20000000,15779578,,
1758,,10873237,,
1759,,27627310,,
1760,,20005435,,
1761,,2268181,,
1762,,17037887,,
1763,,1382462,,
1764,22000000,14760451,,
1765,,9888167,,
1766,,1494399,,
1767,,2678414,,
1768,12000000,7331647,,
1769,6000000,,,
1770,10000000,22424195,,
1771,,6698361,,
1772,18000000,2742912,,
1773,,1986433,,
1774,4000000,2070871,,
1775,2000000,1627955,,
1776,,1217084,,
1777,9000000,25029569,,
1778,,,,
1779,,1494969,,
1780,,4873620,,
1781,19000000,4011793,,
1782,9000000,349618,,
1783,,7698010,,
1784,700000,357400,,
1785,,13236513,,
1786,12000000,3417056,,
1787,6700000,1171762,,
1788,11500000,334748,,
1789,,10959015,,
1790,,11207891,,
1791,,1055995,,
1792,23000000,5820015,,
1793,,6488114,,
1794,,6070725,,
1795,,8533973,,
1796,,25421633,,
1797,,1382259,,
1798,,1232210,,
1799,,1745470,,
1800,3000000,15369573,,
1801,5000000,485772,,
1802,,19740070,,
1803,,2218579,,
1804,,4134992,,
1805,,1730856,,
1806,,2231274,,
1807,,1510053,,
1808,,20240128,,
1809,,1823154,,
1810,15000000,5585154,,
1811,,20554,,
1812,,1161135,,
1813,15000000,1106475,,
1814,,1436308,,
1815,,,,
1816,10000000,2346150,,
1817,,4010647,,
1818,,358047,,
1819,6500000,2032973,,
1820,17500000,947306,,
1821,,5006,,
1822,,4263112,,
1823,,,,
1824,,1576702,,
1825,12000000,1531489,,
1826,,,,
1827,,11359129,,
1828,,8141292,,
1829,7500000,4562778,,
1830,,715983,,
1831,16000000,17854933,,
1832,,1224605,,
1833,,2415312,,
1834,,1547867,,
1835,,1305887,,
1836,11000000,1794001,,
1837,9000000,2544504,,
1838,,,,
1839,42000000,,,
1840,,59227,,
1841,,774048,,
1842,,2293625,,
1843,,,,
1844,102000000,520881154,,
1845,24000000,83531958,,
1846,19000000,272742922,,
1847,70000000,300854823,,
1848,6500000,57529070,,
1849,35000000,182291969,,
1850,,11336986,,
1851,30000000,191502426,,
1852,16500000,45456285,,
1853,2000000,33616692,,
1854,48000000,390493908,,
1855,38000000,34416893,,
1856,25000000,424967620,,
1857,11000000,119418501,,
1858,40000000,205405498,,
1859,35000000,46704056,,
1860,17000000,59489799,,
1861,40000000,152368585,,
1862,20000000,38039850,,
1863,,89325780,,
1864,27000000,179033791,,
1865,,25196249,,
1866,24000000,41895491,,
1867,,,,
1868,19000000,174999005,,
1869,,403056,,
1870,11000000,2807854,,
1871,43000000,59509925,,
1872,30000000,96888996,,
1873,2500000,6401336,,
1874,6788000,13878411,,
1875,26000000,181096164,,
1876,65000000,17218080,,
1877,30000000,74787599,,
1878,9000000,6153939,,
1879,40000000,8479793,,
1880,35000000,63707829,,
1881,16000000,2641357,,
1882,25000000,78656813,,
1883,23000000,86930411,,
1884,15000000,30102717,,
1885,12000000,14919570,,
1886,,2853801,,
1887,,2175939,,
1888,8000000,47624353,,
1889,10000000,15073942,,
1890,6000000,31347154,,
1891,25000000,43001500,,
1892,30000000,49114016,,
1893,20000000,54830779,,
1894,,1794187,,
1895,3500000,2023808,,
1896,13000000,20560255,,
1897,11000000,34872033,,
1898,35000000,23562716,,
1899,28000000,29679,,
1900,30000000,15556340,,
1901,17000000,9151887,,
1902,,7294835,,
1903,8000000,2275557,,
1904,14000000,43882682,,
1905,23000000,7434726,,
1906,,14789113,,
1907,,16371128,,
1908,35000000,14587732,,
1909,15000000,32704700,,
1910,24000000,65595485,,
1911,,21756163,,
1912,,28862081,,
1913,17000000,7241350,,
1914,15000000,38016380,,
1915,14000000,39673161,,
1916,,545825,,
1917,7000000,191125,,
1918,,40766041,,
1919,13000000,4102526,,
1920,29000000,22773535,,
1921,,40991329,,
1922,,135893,,
1923,,2971661,,
1924,25000000,36489888,,
1925,25000000,33691313,,
1926,,1277404,,
1927,13000000,3752428,,
1928,18000000,11657385,,
1929,13500000,26255594,,
1930,6000000,1193062,,
1931,,573904,,
1932,14000000,15545943,,
1933,14000000,34793160,,
1934,23000000,829625,,
1935,,25092802,,
1936,17000000,4603929,,
1937,22000000,11511031,,
1938,,2603061,,
1939,,6948859,,
1940,,4205000,,
1941,23000000,20246790,,
1942,,10405394,,
1943,,7788597,,
1944,,9689816,,
1945,18000000,82264675,,
1946,,394631,,
1947,,1008404,,
1948,,4313473,,
1949,,25682090,,
1950,18000000,5546827,,
1951,,2415396,,
1952,2000000,,,
1953,,1710057,,
1954,10000000,25010896,,
1955,14000000,2735731,,
1956,1400000,115103,,
1957,,8211952,,
1958,48000000,15565363,,
1959,,1015007,,
1960,,38120905,,
1961,11000000,1059071,,
1962,500000,90091,,
1963,10000000,6166819,,
1964,,14143280,,
1965,,8750400,,
1966,,7308786,,
1967,26000000,12454768,,
1968,,9804775,,
1969,250000,787280,,
1970,23000000,52487045,,
1971,,13200170,,
1972,,4532791,,
1973,5000000,19438638,,
1974,,28738096,,
1975,10000000,14061361,,
1976,,28277918,,
1977,6000000,221295,,
1978,,706131,,
1979,10000000,2105078,,
1980,7500000,6266621,,
1981,,271327,,
1982,,3106559,,
1983,,1750301,,
1984,17010000,24941969,,
1985,16400000,21082165,,
1986,,396573,,
1987,8000000,18784957,,
1988,17000000,2865916,,
1989,40000000,23202444,,
1990,6000000,869325,,
1991,,456127,,
1992,13000000,5451119,,
1993,8000000,10438504,,
1994,,516431,,
1995,,1250712,,
1996,,11128309,,
1997,22000000,11000863,,
1998,,524668,,
1999,36000000,1345903,,
2000,20000000,418807,,
2001,,4076211,,
2002,15000000,15429177,,
2003,,9480198,,
2004,,2368,,
2005,,1403033,,
2006,,3089497,,
2007,,4654288,,
2008,10000000,8667684,,
2009,,612781,,
2010,10000000,9188150,,
2011,4000000,11276846,,
2012,,1182273,,
2013,,7683267,,
2014,,179469,,
2015,,14812144,,
2016,,2120564,,
2017,,3547684,,
2018,,1689723,,
2019,16000000,14851083,,
2020,,9915,,
2021,19000000,939277,,
2022,16000000,4409328,,
2023,,18634643,,
2024,,1942423,,
2025,18000000,1501785,,
2026,,336396,,
2027,3000000,1345015,,
2028,,295444,,
2029,,5136759,,
2030,6900000,133645,,
2031,,516517,,
2032,4000000,259012,,
2033,6000000,,,
2034,,30964,,
2035,,1159578,,
2036,,193205,,
2037,14000000,8906823,,
2038,,1407309,,
2039,,626057,,
2040,,246000,,
2041,,93292,,
2042,,,,
2043,,6413375,,
2044,1200000,2913644,,
2045,49000000,352927224,,
2046,6000000,25795897,,
2047,11000000,64088552,,
2048,40000000,75505856,,
2049,40000000,215862692,,
2050,14400000,159157447,,
2051,41000000,243240178,,
2052,40000000,132440069,,
2053,25000000,411006740,,
2054,31000000,134095253,,
2055,80000000,266892996,,
2056,10000000,50752337,,
2057,28000000,504050219,,
2058,31000000,231605150,,
2059,50000000,159814498,,
2060,55000000,149022650,,
2061,60000000,137783840,,
2062,,62548947,,
2063,,26341736,,
2064,35000000,156563139,,
2065,8000000,16639799,,
2066,16000000,48017402,,
2067,30000000,14110589,,
2068,12500000,10725228,,
2069,20000000,183097323,,
2070,11000000,11502976,,
2071,12000000,43440294,,
2072,10000000,4184990,,
2073,,5471088,,
2074,,147214049,,
2075,23000000,36299898,,
2076,7000000,16624456,,
2077,15000000,30524763,,
2078,31000000,9493259,,
2079,,5013090,,
2080,28000000,358994850,,
2081,11700000,88036683,,
2082,15000000,2819485,,
2083,33000000,48169910,,
2084,45000000,178051587,,
2085,3000000,242623,,
2086,3000000,1829804,,
2087,23000000,105232691,,
2088,10000000,32100816,,
2089,8000000,21706101,,
2090,7000000,40693477,,
2091,,90753806,,
2092,35000000,321731527,,
2093,16000000,13086430,,
2094,7000,2040920,,
2095,5000000,1862805,,
2096,8000000,17092453,,
2097,1000000,2038916,,
2098,,18471850,,
2099,24000000,32710894,,
2100,26000000,94900635,,
2101,18000000,14715067,,
2102,35000000,29302121,,
2103,5000000,20146880,,
2104,,7532911,,
2105,,127956187,,
2106,,205569,,
2107,6500000,29000301,,
2108,5000000,12534961,,
2109,30000000,13273595,,
2110,40000000,58662452,,
2111,24000000,22518097,,
2112,,25105517,,
2113,15000000,44065653,,
2114,,,,
2115,900000,6980986,,
2116,,14796494,,
2117,35000000,4651977,,
2118,,11749595,,
2119,12000000,37170057,,
2120,4000000,5378172,,
2121,20000000,9223441,,
2122,7000000,5430822,,
2123,8000000,3560469,,
2124,43000000,23278931,,
2125,,175340,,
2126,47000000,7191399,,
2127,10000000,15164458,,
2128,42000000,131052444,,
2129,18000000,2827107,,
2130,,8403433,,
2131,,17180393,,
2132,40000000,45500797,,
2133,25000000,35208854,,
2134,15000000,22660758,,
2135,45000000,70611210,,
2136,20000000,4943279,,
2137,,57138719,,
2138,30000000,7286388,,
2139,32000000,28590665,,
2140,,1543112,,
2141,25000000,10736401,,
2142,18000000,21591728,,
2143,8000000,6739141,,
2144,18000000,8669847,,
2145,14000000,2034470,,
2146,900000,16270600,,
2147,20000000,11390479,,
2148,,8442162,,
2149,40000000,14358033,,
2150,5000000,4058564,,
2151,30000000,17129026,,
2152,2000000,21744201,,
2153,,23369283,,
2154,12000000,2280148,,
2155,7500000,13272113,,
2156,17000000,4836637,,
2157,,5603158,,
2158,,2001124,,
2159,10000000,21142815,,
2160,,43838238,,
2161,10000000,40227006,,
2162,20000000,10555619,,
2163,14000000,13249535,,
2164,,754935,,
2165,10000000,14356479,,
2166,29000000,5519569,,
2167,42000000,19507345,,
2168,4000000,1373196,,
2169,12000000,32574382,,
2170,,1605437,,
2171,,277845,,
2172,40000000,20883046,,
2173,,2287928,,
2174,,,,
2175,14000000,3052738,,
2176,10000000,1100218,,
2177,50000000,46666502,,
2178,22000000,9011574,,
2179,,5418216,,
2180,250000,,,
2181,9000000,923418,,
2182,5000000,1055987,,
2183,5000000,1526697,,
2184,,4479470,,
2185,,7306242,,
2186,,,,
2187,,256249,,
2188,18000000,12282994,,
2189,3000000,390152,,
2190,3330000,4814619,,
2191,,20194,,
2192,,1342613,,
2193,10000000,384048,,
2194,,19930973,,
2195,,,,
2196,40000000,8251071,,
2197,130000,,,
2198,,22697691,,
2199,,1253106,,
2200,15000000,3067917,,
2201,18000000,6375979,,
2202,15500000,6742168,,
2203,,4790801,,
2204,,4906900,,
2205,27000000,14683921,,
2206,,21202099,,
2207,,28791,,
2208,18000000,1014726,,
2209,43000000,13351357,,
2210,10000000,8359717,,
2211,,2517600,,
2212,22769,692585,,
2213,3000000,143010,,
2214,800000,114516,,
2215,15000000,6132924,,
2216,,611703,,
2217,20000000,6202756,,
2218,18000000,11124511,,
2219,,1557771,,
2220,,24672,,
2221,,52431,,
2222,30000000,4096030,,
2223,38000,,,
2224,,918239,,
2225,,1659542,,
2226,,,,
2227,,3206714,,
2228,,422503,,
2229,,,,
2230,,2806881,,
2231,24000000,608866,,
2232,2700000,1723319,,
2233,,2791515,,
2234,,2922094,,
2235,,1102469,,
2236,,4030793,,
2237,,3104545,,
2238,,1514114,,
2239,,9481984,,
2240,,22765,,
2241,,,,
2242,,1434174,,
2243,13000000,3721911,,
2244,25000000,56505065,,
2245,,34348443,,
2246,63000000,1033928303,,
2247,6900000,7993039,,
2248,22000000,322161245,,
2249,13000000,13088850,,
2250,,1769305,,
2251,20000000,35739755,,
2252,22000000,17287898,,
2253,11000000,10032765,,
2254,28000000,44947705,,
2255,30000000,63848322,,
2256,25000000,441286195,,
2257,44000000,368875760,,
2258,57000000,58055768,,
2259,,117270765,,
2260,25000000,40903593,,
2261,45000000,195268056,,
2262,42000000,270248367,,
2263,85000000,137298489,,
2264,38000000,57319029,,
2265,14600000,71074049,,
2266,26000000,206678440,,
2267,48000000,20915465,,
2268,21000000,227927165,,
2269,70000000,255000211,,
2270,7000000,40185556,,
2271,18000000,91491247,,
2272,10000000,56500758,,
2273,35000000,4496583,,
2274,13000000,65796862,,
2275,32000000,36733909,,
2276,47000000,48919043,,
2277,38000000,266614059,,
2278,40000000,176997168,,
2279,34000000,32255440,,
2280,3500000,27912072,,
2281,25000000,10769960,,
2282,30000000,53898845,,
2283,,41833324,,
2284,18000000,31181347,,
2285,20000000,153698625,,
2286,22000000,10696210,,
2287,15000000,23237911,,
2288,18000000,74189677,,
2289,15000000,19885552,,
2290,14000000,154856263,,
2291,28000000,63270710,,
2292,9000000,2395231,,
2293,,23261580,,
2294,40000000,116300000,,
2295,,22881563,,
2296,33000000,21274717,,
2297,20000000,11585483,,
2298,25000000,133752825,,
2299,11000000,22549338,,
2300,6000000,13609396,,
2301,13000000,27979399,,
2302,,4104962,,
2303,,1341154,,
2304,,70172621,,
2305,30000000,135130999,,
2306,900000,8556940,,
2307,20000000,46405336,,
2308,15000000,39100956,,
2309,,6110979,,
2310,,36448400,,
2311,30000000,24107867,,
2312,2000000,54207,,
2313,12000000,7266383,,
2314,3000000,15935068,,
2315,13000000,9532895,,
2316,17000000,60613008,,
2317,25000000,57405220,,
2318,15000000,118243066,,
2319,1500000,418961,,
2320,2000000,621392,,
2321,35000000,18635620,,
2322,40000000,48198019,,
2323,,30038362,,
2324,,1796389,,
2325,11500000,3275585,,
2326,35000000,107198790,,
2327,30000000,11146270,,
2328,21000000,42273609,,
2329,13000000,428868,,
2330,,152972,,
2331,2600000,2850263,,
2332,14000000,1029721,,
2333,,14543394,,
2334,40000000,6265311,,
2335,,12324660,,
2336,35000000,4858139,,
2337,14000000,63513743,,
2338,14000000,27515786,,
2339,11000000,32901136,,
2340,,322975,,
2341,7500000,18898806,,
2342,6000000,5635204,,
2343,11000000,29296,,
2344,,5632086,,
2345,25000000,16589540,,
2346,,15185672,,
2347,800000,1001437,,
2348,12000000,6405918,,
2349,,24760338,,
2350,4000000,6122607,,
2351,,18994653,,
2352,21000000,12526677,,
2353,22000000,25842377,,
2354,19000000,112547,,
2355,15000000,22189039,,
2356,8000000,1214231,,
2357,19000000,11081586,,
2358,,9317021,,
2359,8000000,2502551,,
2360,15000000,23032565,,
2361,12000000,5086909,,
2362,,6995302,,
2363,13500000,11330911,,
2364,,4916135,,
2365,7000000,12741891,,
2366,,659810,,
2367,6500000,24103594,,
2368,22000000,104942695,,
2369,,256264,,
2370,,1498795,,
2371,15000000,10611160,,
2372,6000000,3283371,,
2373,15000000,27804899,,
2374,,3267313,,
2375,22000000,10340263,,
2376,20000000,8016708,,
2377,,7839327,,
2378,6000000,17953778,,
2379,13000000,2570550,,
2380,33000000,5864949,,
2381,9000000,14904910,,
2382,13000000,6582052,,
2383,10000000,18289763,,
2384,,9709451,,
2385,,140081992,,
2386,8000000,1708873,,
2387,,12440858,,
2388,7000000,6608687,,
2389,25000000,669276,,
2390,12000000,3335984,,
2391,3000000,3902679,,
2392,,1700992,,
2393,,2019581,,
2394,,1614784,,
2395,11000000,14694904,,
2396,10000000,4348572,,
2397,,6484246,,
2398,,413479,,
2399,,3418141,,
2400,10500000,810455,,
2401,10000000,1261210,,
2402,10000000,18369,,
2403,12000000,1677807,,
2404,,12890752,,
2405,12000000,22866222,,
2406,1000000,6933459,,
2407,,20208496,,
2408,14000000,8041049,,
2409,,102780,,
2410,11000000,16696219,,
2411,,595505,,
2412,10000000,18225518,,
2413,6000000,12974636,,
2414,25000000,8345845,,
2415,850000,1753979,,
2416,13000000,3125424,,
2417,14000000,40689691,,
2418,11900000,596,,
2419,,225278,,
2420,,5145823,,
2421,11000000,1039824,,
2422,,1038959,,
2423,25000000,2438031,,
2424,,3741869,,
2425,,101071,,
2426,2500000,764724,,
2427,,322871,,
2428,,735162,,
2429,,61274,,
2430,,9745803,,
2431,,3246063,,
2432,,17952857,,
2433,8000000,737548,,
2434,19000000,2119994,,
2435,5000000,2970,,
2436,,,,
2437,999999,233824,,
2438,1800000,,,
2439,9000000,10058318,,
2440,,1497222,,
2441,18000000,1640220,,
2442,,296081,,
2443,8000000,1884814,,
2444,25000000,28817291,,
2445,8000000,213928762,,
2446,55000000,678226133,,
2447,,19552639,,
2448,115000000,378882411,,
2449,45000000,1083720877,,
2450,23000000,351583407,,
2451,30000000,350448145,,
2452,55000000,196567262,,
2453,23000000,67308282,,
2454,17000000,247275374,,
2455,30000000,160638883,,
2456,34000000,50283563,,
2457,23000000,50693129,,
2458,60000000,223664608,,
2459,4400000,245700832,,
2460,46000000,341631208,,
2461,15000000,107217396,,
2462,18000000,50083616,,
2463,35000000,99431786,,
2464,,1432358,,
2465,62000000,215887717,,
2466,,45610410,,
2467,5000000,3049135,,
2468,27000,3151130,,
2469,,10475705,,
2470,75000000,183031272,,
2471,63000000,25052000,,
2472,2500000,5842603,,
2473,,11265402,,
2474,20000000,19306362,,
2475,18000000,5887457,,
2476,35000000,118071125,,
2477,55000000,214015089,,
2478,24000000,50236831,,
2479,8000000,8924549,,
2480,40000000,38087756,,
2481,50000000,119208989,,
2482,11500000,33351557,,
2483,30000000,51132598,,
2484,,7770731,,
2485,,3581969,,
2486,60000000,108431355,,
2487,8000000,19721741,,
2488,48000000,16827402,,
2489,45000000,94216343,,
2490,,5751882,,
2491,600000,185898,,
2492,12000000,15876353,,
2493,28000000,30156002,,
2494,40000000,19726050,,
2495,40000000,7182747,,
2496,9000000,15482277,,
2497,45000000,117615211,,
2498,,30577969,,
2499,20000000,37939757,,
2500,,20059210,,
2501,,1608570,,
2502,70000000,131002597,,
2503,45000000,112006296,,
2504,25000000,6841570,,
2505,27000000,43229904,,
2506,40000000,2816518,,
2507,27000000,101646581,,
2508,22000000,190539357,,
2509,45000000,170362582,,
2510,27000000,13670688,,
2511,2500000,2079569,,
2512,13000000,7820688,,
2513,25000000,15240435,,
2514,25000000,48063435,,
2515,,50021959,,
2516,16000000,3359465,,
2517,31000000,24822619,,
2518,7400000,7727256,,
2519,,25479558,,
2520,24500000,106683817,,
2521,,1237219,,
2522,,17359799,,
2523,,1596687,,
2524,,30057974,,
