Id,budget,gross,,
305,,1474249,,
306,7000000,21134374,,
307,,2914328,,
308,13400000,2869638,,
309,,3723036,,
310,,16894678,,
311,,23671186,,
312,,42914,,
313,15000000,199078,,
314,,3178542,,
315,,8693512,,
316,6000000,6062898,,
317,,36299720,,
318,,78350,,
319,,12408066,,
320,19000000,2279543,,
321,,6968359,,
322,,3783329,,
323,,3355948,,
324,,22440,,
325,,,,
326,,5124391,,
327,,,,
328,10000,,,
329,,,,
330,435000,,,
331,,777087,,
332,25000000,65884703,,
333,10000000,25697647,,
334,32500000,475106177,,
335,6200000,63541777,,
336,15000000,61399552,,
337,15000000,90404800,,
338,39000000,59950623,,
339,8000000,56399659,,
340,22000000,64892670,,
341,20500000,87987055,,
342,9700000,21017849,,
343,350000,,,
344,4000000,92921203,,
345,12000000,79567667,,
346,27000000,21192315,,
347,47000000,16916617,,
348,,24071666,,
349,10000000,20766616,,
350,27500000,67893619,,
351,3500000,14049540,,
352,350000,17343596,,
353,10000000,2494480,,
354,5952000,2120439,,
355,8000000,108423749,,
356,10000000,29450919,,
357,36000000,55432841,,
358,3300000,20653717,,
359,5000000,21156152,,
360,22000000,67642693,,
361,,5988322,,
362,,64783827,,
363,22000000,42313354,,
364,7500000,19910002,,
365,5000000,34725000,,
366,,5899678,,
367,,9190819,,
368,10000000,35615609,,
369,5600000,17233166,,
370,11000000,4218594,,
371,,22587834,,
372,12000000,40218899,,
373,1200000,760883,,
374,,4786789,,
375,6500000,4300000,,
376,9000000,14949697,,
377,,55269,,
378,,20307325,,
379,,5678950,,
380,457000,11919250,,
381,6500000,33759266,,
382,19000000,8400000,,
383,,8443124,,
384,12000000,6472990,,
385,15000000,15856028,,
386,5000000,12232628,,
387,,29309766,,
388,,2306560,,
389,7000000,1246141,,
390,800000,2082215,,
391,15000000,10219460,,
392,,10353438,,
393,3000000,17488564,,
394,4520000,7175592,,
395,14500000,30503151,,
396,,10375893,,
397,250000,4319001,,
398,,13000000,,
399,25000000,1402962,,
400,14000000,23646952,,
401,1250000,6149983,,
402,14400000,16478265,,
403,19000000,28445927,,
404,,29600000,,
405,,694497,,
406,8000000,30379,,
407,2500000,10676194,,
408,,14648076,,
409,,5563663,,
410,9500000,5696391,,
411,6000000,6333135,,
412,,2044892,,
413,6500000,6486797,,
414,700000,13168027,,
415,,11798616,,
416,,,,
417,,,,
418,9000000,13030214,,
419,,123572,,
420,8000000,724912,,
421,,15543710,,
422,,2810199,,
423,4000000,1080470,,
424,11000000,4491986,,
425,8000000,16134627,,
426,11800000,5997566,,
427,12000000,14000000,,
428,5000000,1223200,,
429,,5555305,,
430,,5310748,,
431,,11787127,,
432,,,,
433,19000000,10964740,,
434,6000000,6670680,,
435,10000000,10369581,,
436,5000000,1262691,,
437,,17613720,,
438,,6347072,,
439,3000000,1867792,,
440,,1772889,,
441,,,,
442,,687475,,
443,,272278,,
444,550000,5269990,,
445,5500000,1645711,,
446,12000000,1963756,,
447,,1362303,,
448,,12049514,,
449,,5301085,,
450,220000,975414,,
451,300000,1530839,,
452,,,,
453,10100000,10171304,,
454,8000000,3000000,,
455,,1818910,,
456,5000000,4304286,,
457,,1723487,,
458,,2443487,,
459,,2439705,,
460,,6857733,,
461,,,,
462,,2314561,,
463,,,,
464,,108128,,
465,100000,,,
466,,16156776,,
467,3000000,,,
468,50000,26177,,
469,,,,
470,,,,
471,2500000,,,
472,3000,,,
473,,,,
474,,6666725,,
475,323562,,,
476,6400000,78371200,,
477,40000000,30925690,,
478,30000000,296187079,,
479,8000000,91119319,,
480,30000000,5473212,,
481,4500000,81198894,,
482,28000000,333107271,,
483,10000000,8801940,,
484,1800000,25507137,,
485,18000000,52066791,,
486,14000000,316360478,,
487,17000000,38376497,,
488,27000000,20251411,,
489,8200000,80039064,,
490,8000000,40874452,,
491,11000000,153633143,,
492,10000000,86572238,,
493,14500000,8089290,,
494,6500000,23686027,,
495,,2207548,,
496,2500000,4736202,,
497,,8430492,,
498,9000000,20458340,,
499,18000000,31042035,,
500,800000,14568989,,
501,15000000,28733290,,
502,8000000,69821334,,
503,1500000,4228292,,
504,28000000,47951979,,
505,5000000,38435947,,
506,1000000,8736506,,
507,2600000,32980880,,
508,,7121719,,
509,13000000,21689062,,
510,35000000,14296438,,
511,25000000,8613462,,
512,15000000,17080167,,
513,1250000,4654423,,
514,9000000,25348610,,
515,,6770587,,
516,,6254148,,
517,17000000,76471046,,
518,1500000,129000,,
519,28000000,40400657,,
520,14400000,34700291,,
521,58000000,25928721,,
522,22000000,28744356,,
523,700000,14418922,,
524,,18644570,,
525,,12145169,,
526,,2912945,,
527,21000000,8103330,,
528,,34901614,,
529,7000000,8914881,,
530,20000000,28078073,,
531,90000,2436000,,
532,9000000,14255801,,
533,16000000,27201487,,
534,7200000,70263155,,
535,7500000,5142858,,
536,,876775,,
537,25000000,5778353,,
538,2550000,22812411,,
539,30000000,45858563,,
540,,25534703,,
541,,11020375,,
542,12000000,11129057,,
543,,1337274,,
544,,38682707,,
545,12000000,1455045,,
546,2000000,4389334,,
547,5500000,,,
548,,2193612,,
549,,,,
550,6500000,6045647,,
551,1065000,2491460,,
552,8000000,6836201,,
553,,36403064,,
554,,4743119,,
555,,10530000,,
556,,8289916,,
557,,48143579,,
558,28000000,21435321,,
559,,23859382,,
560,,11708269,,
